"Gemeinde_Nr","Gemeinde_color","Ja_Stimmen_In_Prozent","Nein_Stimmen_In_Prozent","Gemeinde_KT_d","Gemeinde_KT_f","Gemeinde_KT_i","Text_d"
5554,56.5,56.5,43.5,"Concise VD","Concise (VD)","Concise VD","56,5 Prozent der Stimmbürgerinnen und Stimmbürger von Concise haben die Erhöhung des Frauenrentenalters auf 65 angenommen. Weil die Gemeinde die Erhöhung der Mehrwertsteuer aber mit 64,7 Prozent Nein-Stimmen abgelehnt hat, ist die AHV-Reform in Concise damit trotzdem gescheitert. Auch bei der letzten AHV-Abstimmung im Jahr 2017 hatte Concise eine Rentenreform mit 54 Prozent Nein-Stimmen abgelehnt."
5555,16.9,16.9,83.1,"Corcelles-près-Concise VD","Corcelles-près-Concise (VD)","Corcelles-près-Concise VD","Keine Mehrheit für die Erhöhung des Frauenrentenalters auf 65 in Corcelles-près-Concise: Mit 83,1 Prozent hat die Gemeinde die Vorlage verworfen. Obwohl die Gemeinde der Erhöhung der Mehrwertsteuer mit 70 Prozent angenommen hat, ist die AHV-Reform in Corcelles-près-Concise damit gescheitert. Auch bei der letzten AHV-Abstimmung im Jahr 2017 hatte Corcelles-près-Concise eine Rentenreform mit 51,2 Prozent Nein-Stimmen abgelehnt."
5556,67,67,33,"Fiez VD","Fiez (VD)","Fiez VD","67 Prozent der Stimmbürgerinnen und Stimmbürger von Fiez haben die Erhöhung des Frauenrentenalters auf 65 angenommen. Da die Gemeinde auch der Erhöhung der Mehrwertsteuer mit 69,7 Prozent zugestimmt hat, ist die AHV-Reform in Fiez damit angenommen worden. Damit hat in Fiez im Vergleich zur letzten AHV-Abstimmungim Jahr 2017 ein Meinungsumschwung stattgefunden. Damals hatte noch eine Mehrheit von 54,1 Prozent ein Nein in die Urne gelegt."
5557,78.3,78.3,21.7,"Fontaines-sur-Grandson VD","Fontaines-sur-Grandson (VD)","Fontaines-sur-Grandson VD","Ja zur Erhöhung des Frauenrentenalters auf 65 in Fontaines-sur-Grandson mit 78,3 Prozent. Da die Gemeinde auch der Erhöhung der Mehrwertsteuer mit 52,6 Prozent zugestimmt hat, ist die AHV-Reform in Fontaines-sur-Grandson damit angenommen worden. Damit hat in Fontaines-sur-Grandson im Vergleich zur letzten AHV-Abstimmungim Jahr 2017 ein Meinungsumschwung stattgefunden. Damals hatte noch eine Mehrheit von 65,5 Prozent ein Nein in die Urne gelegt."
5559,79.7,79.7,20.3,"Giez VD","Giez (VD)","Giez VD","79,7 Prozent der Abstimmenden in der Gemeinde Giez haben Ja gesagt zur Erhöhung des Frauenrentenalters auf 65. Da die Gemeinde auch der Erhöhung der Mehrwertsteuer mit 87,7 Prozent zugestimmt hat, ist die AHV-Reform in Giez damit angenommen worden. Auch bei der letzten AHV-Abstimmung im Jahr 2017 hatte Giez der Rentenreform mit 52 Prozent zugestimmt."
5560,50.3,50.3,49.7,"Grandevent VD","Grandevent (VD)","Grandevent VD","Ja zur Erhöhung des Frauenrentenalters auf 65 in Grandevent mit 50,3 Prozent. Da die Gemeinde auch der Erhöhung der Mehrwertsteuer mit 74,6 Prozent zugestimmt hat, ist die AHV-Reform in Grandevent damit angenommen worden. Auch bei der letzten AHV-Abstimmung im Jahr 2017 hatte Grandevent der Rentenreform mit 56,2 Prozent zugestimmt."
5561,96,96,4,"Grandson VD","Grandson (VD)","Grandson VD","Grandson hat der Erhöhung des Frauenrentenalters auf 65 mit 96 Prozent  zugestimmt. Weil die Gemeinde die Erhöhung der Mehrwertsteuer aber mit 64,4 Prozent Nein-Stimmen abgelehnt hat, ist die AHV-Reform in Grandson damit trotzdem gescheitert. Auch bei der letzten AHV-Abstimmung im Jahr 2017 hatte Grandson eine Rentenreform mit 51,2 Prozent Nein-Stimmen abgelehnt."
5562,0.8,0.8,99.2,"Mauborget VD","Mauborget (VD)","Mauborget VD","99,2 Prozent der Stimmbürgerinnen und Stimmbürger von Mauborget sagen Nein zur Erhöhung des Frauenrentenalters auf 65. Obwohl die Gemeinde der Erhöhung der Mehrwertsteuer mit 61,1 Prozent angenommen hat, ist die AHV-Reform in Mauborget damit gescheitert. Auch bei der letzten AHV-Abstimmung im Jahr 2017 hatte Mauborget eine Rentenreform mit 70,4 Prozent Nein-Stimmen abgelehnt."
5563,35.4,35.4,64.6,"Mutrux VD","Mutrux (VD)","Mutrux VD","64,6 Prozent Nein zur Erhöhung des Frauenrentenalters auf 65 in Mutrux. Da die Gemeinde auch die Erhöhung der Mehrwertsteuer mit 59,1 Prozent Nein-Stimmen abgelehnt hat, ist die AHV-Reform in Mutrux damit gescheitert. Auch bei der letzten AHV-Abstimmung im Jahr 2017 hatte Mutrux eine Rentenreform mit 54,7 Prozent Nein-Stimmen abgelehnt."
5564,27.3,27.3,72.7,"Novalles VD","Novalles (VD)","Novalles VD","In Novalles hat die Stimmbevölkerung die Erhöhung des Frauenrentenalters auf 65 mit 72,7 Prozent abgelehnt. Obwohl die Gemeinde der Erhöhung der Mehrwertsteuer mit 62,1 Prozent angenommen hat, ist die AHV-Reform in Novalles damit gescheitert. Auch bei der letzten AHV-Abstimmung im Jahr 2017 hatte Novalles eine Rentenreform mit 62,5 Prozent Nein-Stimmen abgelehnt."
5565,95.6,95.6,4.4,"Onnens VD","Onnens (VD)","Onnens VD","In Onnens VD hat die Stimmbevölkerung der Erhöhung des Frauenrentenalters auf 65 mit einem Ja-Stimmen-Anteil von 95,6 Prozent zugestimmt. Da die Gemeinde auch der Erhöhung der Mehrwertsteuer mit 54,8 Prozent zugestimmt hat, ist die AHV-Reform in Onnens VD damit angenommen worden. Damit hat in Onnens VD im Vergleich zur letzten AHV-Abstimmungim Jahr 2017 ein Meinungsumschwung stattgefunden. Damals hatte noch eine Mehrheit von 56,5 Prozent ein Nein in die Urne gelegt."
5566,69.9,69.9,30.1,"Provence VD","Provence (VD)","Provence VD","Provence hat der Erhöhung des Frauenrentenalters auf 65 mit 69,9 Prozent  zugestimmt. Weil die Gemeinde die Erhöhung der Mehrwertsteuer aber mit 68,1 Prozent Nein-Stimmen abgelehnt hat, ist die AHV-Reform in Provence damit trotzdem gescheitert. Auch bei der letzten AHV-Abstimmung im Jahr 2017 hatte Provence eine Rentenreform mit 61,5 Prozent Nein-Stimmen abgelehnt."
5568,77.9,77.9,22.1,"Sainte-Croix VD","Sainte-Croix (VD)","Sainte-Croix VD","Sainte-Croix hat der Erhöhung des Frauenrentenalters auf 65 mit 77,9 Prozent  zugestimmt. Weil die Gemeinde die Erhöhung der Mehrwertsteuer aber mit 84,1 Prozent Nein-Stimmen abgelehnt hat, ist die AHV-Reform in Sainte-Croix damit trotzdem gescheitert. Auch bei der letzten AHV-Abstimmung im Jahr 2017 hatte Sainte-Croix eine Rentenreform mit 54,3 Prozent Nein-Stimmen abgelehnt."
5571,3.9,3.9,96.1,"Tévenon VD","Tévenon (VD)","Tévenon VD","96,1 Prozent Nein zur Erhöhung des Frauenrentenalters auf 65 in Tévenon. Da die Gemeinde auch die Erhöhung der Mehrwertsteuer mit 51,1 Prozent Nein-Stimmen abgelehnt hat, ist die AHV-Reform in Tévenon damit gescheitert. Auch bei der letzten AHV-Abstimmung im Jahr 2017 hatte Tévenon eine Rentenreform mit 55,2 Prozent Nein-Stimmen abgelehnt."
5581,67.9,67.9,32.1,"Belmont-sur-Lausanne VD","Belmont-sur-Lausanne (VD)","Belmont-sur-Lausanne VD","67,9 Prozent der Stimmbürgerinnen und Stimmbürger von Belmont-sur-Lausanne haben die Erhöhung des Frauenrentenalters auf 65 angenommen. Da die Gemeinde auch der Erhöhung der Mehrwertsteuer mit 62,5 Prozent zugestimmt hat, ist die AHV-Reform in Belmont-sur-Lausanne damit angenommen worden. Auch bei der letzten AHV-Abstimmung im Jahr 2017 hatte Belmont-sur-Lausanne der Rentenreform mit 51,8 Prozent zugestimmt."
5582,67.6,67.6,32.4,"Cheseaux-sur-Lausanne VD","Cheseaux-sur-Lausanne (VD)","Cheseaux-sur-Lausanne VD","67,6 Prozent der Abstimmenden in der Gemeinde Cheseaux-sur-Lausanne haben Ja gesagt zur Erhöhung des Frauenrentenalters auf 65. Weil die Gemeinde die Erhöhung der Mehrwertsteuer aber mit 80,9 Prozent Nein-Stimmen abgelehnt hat, ist die AHV-Reform in Cheseaux-sur-Lausanne damit trotzdem gescheitert. Auch bei der letzten AHV-Abstimmung im Jahr 2017 hatte Cheseaux-sur-Lausanne eine Rentenreform mit 50,8 Prozent Nein-Stimmen abgelehnt."
5583,97.6,97.6,2.4,"Crissier VD","Crissier (VD)","Crissier VD","97,6 Prozent in Crissier sagen Ja zur Erhöhung des Frauenrentenalters auf 65 . Weil die Gemeinde die Erhöhung der Mehrwertsteuer aber mit 66 Prozent Nein-Stimmen abgelehnt hat, ist die AHV-Reform in Crissier damit trotzdem gescheitert. Auch bei der letzten AHV-Abstimmung im Jahr 2017 hatte Crissier eine Rentenreform mit 54 Prozent Nein-Stimmen abgelehnt."
5584,55.7,55.7,44.3,"Epalinges VD","Epalinges (VD)","Epalinges VD","55,7 Prozent der Stimmbürgerinnen und Stimmbürger von Epalinges haben die Erhöhung des Frauenrentenalters auf 65 angenommen. Weil die Gemeinde die Erhöhung der Mehrwertsteuer aber mit 52,1 Prozent Nein-Stimmen abgelehnt hat, ist die AHV-Reform in Epalinges damit trotzdem gescheitert. Damit hat in Epalinges im Vergleich zur letzten AHV-Abstimmung im Jahr 2017 ein Meinungsumschwung stattgefunden. Damals hatte noch eine Mehrheit von 54,4 Prozent ein Ja in die Urne gelegt."
5585,86.6,86.6,13.4,"Jouxtens-Mézery VD","Jouxtens-Mézery (VD)","Jouxtens-Mézery VD","Jouxtens-Mézery hat der Erhöhung des Frauenrentenalters auf 65 mit 86,6 Prozent  zugestimmt. Weil die Gemeinde die Erhöhung der Mehrwertsteuer aber mit 89,8 Prozent Nein-Stimmen abgelehnt hat, ist die AHV-Reform in Jouxtens-Mézery damit trotzdem gescheitert. Auch bei der letzten AHV-Abstimmung im Jahr 2017 hatte Jouxtens-Mézery eine Rentenreform mit 50,1 Prozent Nein-Stimmen abgelehnt."
5586,49.9,49.9,50.1,"Lausanne VD","Lausanne (VD)","Losanna VD","Nein zur Erhöhung des Frauenrentenalters auf 65 in Lausanne. Die Gemeinde hat das Volksbegehren mit 50,1 Prozent abgelehnt. Obwohl die Gemeinde der Erhöhung der Mehrwertsteuer mit 83,2 Prozent angenommen hat, ist die AHV-Reform in Lausanne damit gescheitert. Damit hat in Lausanne im Vergleich zur letzten AHV-Abstimmung im Jahr 2017 ein Meinungsumschwung stattgefunden. Damals hatte noch eine Mehrheit von 52,4 Prozent ein Ja in die Urne gelegt."
5587,68.5,68.5,31.5,"Le Mont-sur-Lausanne VD","Le Mont-sur-Lausanne (VD)","Le Mont-sur-Lausanne VD","Die Gemeinde Le Mont-sur-Lausanne hat die Erhöhung des Frauenrentenalters auf 65 mit 68,5 Prozent angenommen. Weil die Gemeinde die Erhöhung der Mehrwertsteuer aber mit 80,5 Prozent Nein-Stimmen abgelehnt hat, ist die AHV-Reform in Le Mont-sur-Lausanne damit trotzdem gescheitert. Damit hat in Le Mont-sur-Lausanne im Vergleich zur letzten AHV-Abstimmung im Jahr 2017 ein Meinungsumschwung stattgefunden. Damals hatte noch eine Mehrheit von 50,2 Prozent ein Ja in die Urne gelegt."
5588,52.7,52.7,47.3,"Paudex VD","Paudex (VD)","Paudex VD","52,7 Prozent der Stimmbürgerinnen und Stimmbürger von Paudex haben die Erhöhung des Frauenrentenalters auf 65 angenommen. Weil die Gemeinde die Erhöhung der Mehrwertsteuer aber mit 56,7 Prozent Nein-Stimmen abgelehnt hat, ist die AHV-Reform in Paudex damit trotzdem gescheitert. Auch bei der letzten AHV-Abstimmung im Jahr 2017 hatte Paudex eine Rentenreform mit 55,6 Prozent Nein-Stimmen abgelehnt."
5589,50.5,50.5,49.5,"Prilly VD","Prilly (VD)","Prilly VD","Die Gemeinde Prilly hat die Erhöhung des Frauenrentenalters auf 65 mit 50,5 Prozent angenommen. Weil die Gemeinde die Erhöhung der Mehrwertsteuer aber mit 83,2 Prozent Nein-Stimmen abgelehnt hat, ist die AHV-Reform in Prilly damit trotzdem gescheitert. Auch bei der letzten AHV-Abstimmung im Jahr 2017 hatte Prilly eine Rentenreform mit 51,1 Prozent Nein-Stimmen abgelehnt."
5590,77.7,77.7,22.3,"Pully VD","Pully (VD)","Pully VD","In Pully hat die Stimmbevölkerung der Erhöhung des Frauenrentenalters auf 65 mit einem Ja-Stimmen-Anteil von 77,7 Prozent zugestimmt. Da die Gemeinde auch der Erhöhung der Mehrwertsteuer mit 70,5 Prozent zugestimmt hat, ist die AHV-Reform in Pully damit angenommen worden. Auch bei der letzten AHV-Abstimmung im Jahr 2017 hatte Pully der Rentenreform mit 53,5 Prozent zugestimmt."
5591,70.1,70.1,29.9,"Renens VD","Renens (VD)","Renens VD","Die Gemeinde Renens VD hat die Erhöhung des Frauenrentenalters auf 65 mit 70,1 Prozent angenommen. Weil die Gemeinde die Erhöhung der Mehrwertsteuer aber mit 85,5 Prozent Nein-Stimmen abgelehnt hat, ist die AHV-Reform in Renens VD damit trotzdem gescheitert. Auch bei der letzten AHV-Abstimmung im Jahr 2017 hatte Renens VD eine Rentenreform mit 53,7 Prozent Nein-Stimmen abgelehnt."
5592,39.7,39.7,60.3,"Romanel-sur-Lausanne VD","Romanel-sur-Lausanne (VD)","Romanel-sur-Lausanne VD","Nein zur Erhöhung des Frauenrentenalters auf 65 in Romanel-sur-Lausanne. Die Gemeinde hat das Volksbegehren mit 60,3 Prozent abgelehnt. Da die Gemeinde auch die Erhöhung der Mehrwertsteuer mit 74,1 Prozent Nein-Stimmen abgelehnt hat, ist die AHV-Reform in Romanel-sur-Lausanne damit gescheitert. Auch bei der letzten AHV-Abstimmung im Jahr 2017 hatte Romanel-sur-Lausanne eine Rentenreform mit 50,2 Prozent Nein-Stimmen abgelehnt."
5601,76.6,76.6,23.4,"Chexbres VD","Chexbres (VD)","Chexbres VD","Chexbres hat der Erhöhung des Frauenrentenalters auf 65 mit 76,6 Prozent  zugestimmt. Weil die Gemeinde die Erhöhung der Mehrwertsteuer aber mit 84,8 Prozent Nein-Stimmen abgelehnt hat, ist die AHV-Reform in Chexbres damit trotzdem gescheitert. Auch bei der letzten AHV-Abstimmung im Jahr 2017 hatte Chexbres eine Rentenreform mit 50,2 Prozent Nein-Stimmen abgelehnt."
5604,58.7,58.7,41.3,"Forel (Lavaux) VD","Forel (Lavaux) (VD)","Forel (Lavaux) VD","58,7 Prozent der Stimmbürgerinnen und Stimmbürger von Forel (Lavaux) haben die Erhöhung des Frauenrentenalters auf 65 angenommen. Weil die Gemeinde die Erhöhung der Mehrwertsteuer aber mit 73,2 Prozent Nein-Stimmen abgelehnt hat, ist die AHV-Reform in Forel (Lavaux) damit trotzdem gescheitert. Auch bei der letzten AHV-Abstimmung im Jahr 2017 hatte Forel (Lavaux) eine Rentenreform mit 57,4 Prozent Nein-Stimmen abgelehnt."
5606,21.4,21.4,78.6,"Lutry VD","Lutry (VD)","Lutry VD","78,6 Prozent der Stimmbürgerinnen und Stimmbürger von Lutry sagen Nein zur Erhöhung des Frauenrentenalters auf 65. Obwohl die Gemeinde der Erhöhung der Mehrwertsteuer mit 53,4 Prozent angenommen hat, ist die AHV-Reform in Lutry damit gescheitert. Auch bei der letzten AHV-Abstimmung im Jahr 2017 hatte Lutry eine Rentenreform mit 50,7 Prozent Nein-Stimmen abgelehnt."
5607,51,51,49,"Puidoux VD","Puidoux (VD)","Puidoux VD","In Puidoux hat die Stimmbevölkerung der Erhöhung des Frauenrentenalters auf 65 mit einem Ja-Stimmen-Anteil von 51 Prozent zugestimmt. Da die Gemeinde auch der Erhöhung der Mehrwertsteuer mit 50,8 Prozent zugestimmt hat, ist die AHV-Reform in Puidoux damit angenommen worden. Damit hat in Puidoux im Vergleich zur letzten AHV-Abstimmungim Jahr 2017 ein Meinungsumschwung stattgefunden. Damals hatte noch eine Mehrheit von 53,6 Prozent ein Nein in die Urne gelegt."
5609,55.2,55.2,44.8,"Rivaz VD","Rivaz (VD)","Rivaz VD","55,2 Prozent der Stimmbürgerinnen und Stimmbürger von Rivaz haben die Erhöhung des Frauenrentenalters auf 65 angenommen. Weil die Gemeinde die Erhöhung der Mehrwertsteuer aber mit 71,3 Prozent Nein-Stimmen abgelehnt hat, ist die AHV-Reform in Rivaz damit trotzdem gescheitert. Auch bei der letzten AHV-Abstimmung im Jahr 2017 hatte Rivaz eine Rentenreform mit 54,1 Prozent Nein-Stimmen abgelehnt."
5610,6.2,6.2,93.8,"Saint-Saphorin (Lavaux) VD","Saint-Saphorin (Lavaux) (VD)","Saint-Saphorin (Lavaux) VD","93,8 Prozent der Stimmbürgerinnen und Stimmbürger von Saint-Saphorin (Lavaux) sagen Nein zur Erhöhung des Frauenrentenalters auf 65. Da die Gemeinde auch die Erhöhung der Mehrwertsteuer mit 90,3 Prozent Nein-Stimmen abgelehnt hat, ist die AHV-Reform in Saint-Saphorin (Lavaux) damit gescheitert. Damit hat in Saint-Saphorin (Lavaux) im Vergleich zur letzten AHV-Abstimmung im Jahr 2017 ein Meinungsumschwung stattgefunden. Damals hatte noch eine Mehrheit von 51,1 Prozent ein Ja in die Urne gelegt."
5611,24.6,24.6,75.4,"Savigny VD","Savigny (VD)","Savigny VD","75,4 Prozent Nein zur Erhöhung des Frauenrentenalters auf 65 in Savigny. Obwohl die Gemeinde der Erhöhung der Mehrwertsteuer mit 50,4 Prozent angenommen hat, ist die AHV-Reform in Savigny damit gescheitert. Auch bei der letzten AHV-Abstimmung im Jahr 2017 hatte Savigny eine Rentenreform mit 54,8 Prozent Nein-Stimmen abgelehnt."
5613,4.5,4.5,95.5,"Bourg-en-Lavaux VD","Bourg-en-Lavaux (VD)","Bourg-en-Lavaux VD","Nein zur Erhöhung des Frauenrentenalters auf 65 in Bourg-en-Lavaux. Die Gemeinde hat das Volksbegehren mit 95,5 Prozent abgelehnt. Da die Gemeinde auch die Erhöhung der Mehrwertsteuer mit 58,3 Prozent Nein-Stimmen abgelehnt hat, ist die AHV-Reform in Bourg-en-Lavaux damit gescheitert. Damit hat in Bourg-en-Lavaux im Vergleich zur letzten AHV-Abstimmung im Jahr 2017 ein Meinungsumschwung stattgefunden. Damals hatte noch eine Mehrheit von 53,3 Prozent ein Ja in die Urne gelegt."
5621,88.8,88.8,11.2,"Aclens VD","Aclens (VD)","Aclens VD","In Aclens hat die Stimmbevölkerung der Erhöhung des Frauenrentenalters auf 65 mit einem Ja-Stimmen-Anteil von 88,8 Prozent zugestimmt. Da die Gemeinde auch der Erhöhung der Mehrwertsteuer mit 68,3 Prozent zugestimmt hat, ist die AHV-Reform in Aclens damit angenommen worden. Damit hat in Aclens im Vergleich zur letzten AHV-Abstimmungim Jahr 2017 ein Meinungsumschwung stattgefunden. Damals hatte noch eine Mehrheit von 53,6 Prozent ein Nein in die Urne gelegt."
5622,18.5,18.5,81.5,"Bremblens VD","Bremblens (VD)","Bremblens VD","81,5 Prozent der Stimmbürgerinnen und Stimmbürger von Bremblens sagen Nein zur Erhöhung des Frauenrentenalters auf 65. Obwohl die Gemeinde der Erhöhung der Mehrwertsteuer mit 82,9 Prozent angenommen hat, ist die AHV-Reform in Bremblens damit gescheitert. Auch bei der letzten AHV-Abstimmung im Jahr 2017 hatte Bremblens eine Rentenreform mit 62,3 Prozent Nein-Stimmen abgelehnt."
5623,29.3,29.3,70.7,"Buchillon VD","Buchillon (VD)","Buchillon VD","Nein zur Erhöhung des Frauenrentenalters auf 65 in Buchillon. Die Gemeinde hat das Volksbegehren mit 70,7 Prozent abgelehnt. Da die Gemeinde auch die Erhöhung der Mehrwertsteuer mit 55,7 Prozent Nein-Stimmen abgelehnt hat, ist die AHV-Reform in Buchillon damit gescheitert. Damit hat in Buchillon im Vergleich zur letzten AHV-Abstimmung im Jahr 2017 ein Meinungsumschwung stattgefunden. Damals hatte noch eine Mehrheit von 52,7 Prozent ein Ja in die Urne gelegt."
5624,55.8,55.8,44.2,"Bussigny VD","Bussigny (VD)","Bussigny VD","55,8 Prozent in Bussigny sagen Ja zur Erhöhung des Frauenrentenalters auf 65 . Weil die Gemeinde die Erhöhung der Mehrwertsteuer aber mit 60,1 Prozent Nein-Stimmen abgelehnt hat, ist die AHV-Reform in Bussigny damit trotzdem gescheitert. Auch bei der letzten AHV-Abstimmung im Jahr 2017 hatte Bussigny eine Rentenreform mit 50,5 Prozent Nein-Stimmen abgelehnt."
5627,6.1,6.1,93.9,"Chavannes-près-Renens VD","Chavannes-près-Renens (VD)","Chavannes-près-Renens VD","93,9 Prozent der Stimmbürgerinnen und Stimmbürger von Chavannes-près-Renens sagen Nein zur Erhöhung des Frauenrentenalters auf 65. Obwohl die Gemeinde der Erhöhung der Mehrwertsteuer mit 88,4 Prozent angenommen hat, ist die AHV-Reform in Chavannes-près-Renens damit gescheitert. Auch bei der letzten AHV-Abstimmung im Jahr 2017 hatte Chavannes-près-Renens eine Rentenreform mit 52 Prozent Nein-Stimmen abgelehnt."
5628,50.7,50.7,49.3,"Chigny VD","Chigny (VD)","Chigny VD","Chigny hat der Erhöhung des Frauenrentenalters auf 65 mit 50,7 Prozent  zugestimmt. Da die Gemeinde auch der Erhöhung der Mehrwertsteuer mit 59,3 Prozent zugestimmt hat, ist die AHV-Reform in Chigny damit angenommen worden. Auch bei der letzten AHV-Abstimmung im Jahr 2017 hatte Chigny der Rentenreform mit 54,7 Prozent zugestimmt."
5629,26,26,74,"Clarmont VD","Clarmont (VD)","Clarmont VD","74 Prozent Nein zur Erhöhung des Frauenrentenalters auf 65 in Clarmont. Da die Gemeinde auch die Erhöhung der Mehrwertsteuer mit 52,2 Prozent Nein-Stimmen abgelehnt hat, ist die AHV-Reform in Clarmont damit gescheitert. Auch bei der letzten AHV-Abstimmung im Jahr 2017 hatte Clarmont eine Rentenreform mit 63,5 Prozent Nein-Stimmen abgelehnt."
5631,66,66,34,"Denens VD","Denens (VD)","Denens VD","Denens hat der Erhöhung des Frauenrentenalters auf 65 mit 66 Prozent  zugestimmt. Weil die Gemeinde die Erhöhung der Mehrwertsteuer aber mit 60,3 Prozent Nein-Stimmen abgelehnt hat, ist die AHV-Reform in Denens damit trotzdem gescheitert. Damit hat in Denens im Vergleich zur letzten AHV-Abstimmung im Jahr 2017 ein Meinungsumschwung stattgefunden. Damals hatte noch eine Mehrheit von 57,8 Prozent ein Ja in die Urne gelegt."
5632,28.2,28.2,71.8,"Denges VD","Denges (VD)","Denges VD","71,8 Prozent Nein zur Erhöhung des Frauenrentenalters auf 65 in Denges. Da die Gemeinde auch die Erhöhung der Mehrwertsteuer mit 94,8 Prozent Nein-Stimmen abgelehnt hat, ist die AHV-Reform in Denges damit gescheitert. Damit hat in Denges im Vergleich zur letzten AHV-Abstimmung im Jahr 2017 ein Meinungsumschwung stattgefunden. Damals hatte noch eine Mehrheit von 53,7 Prozent ein Ja in die Urne gelegt."
5633,12.9,12.9,87.1,"Echandens VD","Echandens (VD)","Echandens VD","87,1 Prozent Nein zur Erhöhung des Frauenrentenalters auf 65 in Echandens. Da die Gemeinde auch die Erhöhung der Mehrwertsteuer mit 74 Prozent Nein-Stimmen abgelehnt hat, ist die AHV-Reform in Echandens damit gescheitert. Auch bei der letzten AHV-Abstimmung im Jahr 2017 hatte Echandens eine Rentenreform mit 50,2 Prozent Nein-Stimmen abgelehnt."
5634,52,52,48,"Echichens VD","Echichens (VD)","Echichens VD","52 Prozent in Echichens sagen Ja zur Erhöhung des Frauenrentenalters auf 65 . Da die Gemeinde auch der Erhöhung der Mehrwertsteuer mit 69,8 Prozent zugestimmt hat, ist die AHV-Reform in Echichens damit angenommen worden. Auch bei der letzten AHV-Abstimmung im Jahr 2017 hatte Echichens der Rentenreform mit 54,8 Prozent zugestimmt."
5635,92.2,92.2,7.8,"Ecublens VD","Ecublens (VD)","Ecublens VD","Die Gemeinde Ecublens VD hat die Erhöhung des Frauenrentenalters auf 65 mit 92,2 Prozent angenommen. Weil die Gemeinde die Erhöhung der Mehrwertsteuer aber mit 79,9 Prozent Nein-Stimmen abgelehnt hat, ist die AHV-Reform in Ecublens VD damit trotzdem gescheitert. Auch bei der letzten AHV-Abstimmung im Jahr 2017 hatte Ecublens VD eine Rentenreform mit 51,5 Prozent Nein-Stimmen abgelehnt."
5636,38.1,38.1,61.9,"Etoy VD","Etoy (VD)","Etoy VD","61,9 Prozent der Stimmbürgerinnen und Stimmbürger von Etoy sagen Nein zur Erhöhung des Frauenrentenalters auf 65. Da die Gemeinde auch die Erhöhung der Mehrwertsteuer mit 55 Prozent Nein-Stimmen abgelehnt hat, ist die AHV-Reform in Etoy damit gescheitert. Damit hat in Etoy im Vergleich zur letzten AHV-Abstimmung im Jahr 2017 ein Meinungsumschwung stattgefunden. Damals hatte noch eine Mehrheit von 53,4 Prozent ein Ja in die Urne gelegt."
5637,32.2,32.2,67.8,"Lavigny VD","Lavigny (VD)","Lavigny VD","Nein zur Erhöhung des Frauenrentenalters auf 65 in Lavigny. Die Gemeinde hat das Volksbegehren mit 67,8 Prozent abgelehnt. Obwohl die Gemeinde der Erhöhung der Mehrwertsteuer mit 53,7 Prozent angenommen hat, ist die AHV-Reform in Lavigny damit gescheitert. Damit hat in Lavigny im Vergleich zur letzten AHV-Abstimmung im Jahr 2017 ein Meinungsumschwung stattgefunden. Damals hatte noch eine Mehrheit von 50,4 Prozent ein Ja in die Urne gelegt."
5638,58.4,58.4,41.6,"Lonay VD","Lonay (VD)","Lonay VD","Die Gemeinde Lonay hat die Erhöhung des Frauenrentenalters auf 65 mit 58,4 Prozent angenommen. Weil die Gemeinde die Erhöhung der Mehrwertsteuer aber mit 61,2 Prozent Nein-Stimmen abgelehnt hat, ist die AHV-Reform in Lonay damit trotzdem gescheitert. Damit hat in Lonay im Vergleich zur letzten AHV-Abstimmung im Jahr 2017 ein Meinungsumschwung stattgefunden. Damals hatte noch eine Mehrheit von 50,4 Prozent ein Ja in die Urne gelegt."
5639,49.6,49.6,50.4,"Lully VD","Lully (VD)","Lully VD","Keine Mehrheit für die Erhöhung des Frauenrentenalters auf 65 in Lully VD: Mit 50,4 Prozent hat die Gemeinde die Vorlage verworfen. Da die Gemeinde auch die Erhöhung der Mehrwertsteuer mit 68,9 Prozent Nein-Stimmen abgelehnt hat, ist die AHV-Reform in Lully VD damit gescheitert. Damit hat in Lully VD im Vergleich zur letzten AHV-Abstimmung im Jahr 2017 ein Meinungsumschwung stattgefunden. Damals hatte noch eine Mehrheit von 54,8 Prozent ein Ja in die Urne gelegt."
5640,43.2,43.2,56.8,"Lussy-sur-Morges VD","Lussy-sur-Morges (VD)","Lussy-sur-Morges VD","In Lussy-sur-Morges hat die Stimmbevölkerung die Erhöhung des Frauenrentenalters auf 65 mit 56,8 Prozent abgelehnt. Obwohl die Gemeinde der Erhöhung der Mehrwertsteuer mit 78,3 Prozent angenommen hat, ist die AHV-Reform in Lussy-sur-Morges damit gescheitert. Damit hat in Lussy-sur-Morges im Vergleich zur letzten AHV-Abstimmung im Jahr 2017 ein Meinungsumschwung stattgefunden. Damals hatte noch eine Mehrheit von 55,6 Prozent ein Ja in die Urne gelegt."
5642,43,43,57,"Morges VD","Morges (VD)","Morges VD","Nein zur Erhöhung des Frauenrentenalters auf 65 in Morges. Die Gemeinde hat das Volksbegehren mit 57 Prozent abgelehnt. Obwohl die Gemeinde der Erhöhung der Mehrwertsteuer mit 51,2 Prozent angenommen hat, ist die AHV-Reform in Morges damit gescheitert. Auch bei der letzten AHV-Abstimmung im Jahr 2017 hatte Morges eine Rentenreform mit 51,6 Prozent Nein-Stimmen abgelehnt."
