"Gemeinde_Nr","Gemeinde_color","Ja_Stimmen_In_Prozent","Nein_Stimmen_In_Prozent","Gemeinde_KT_d","Gemeinde_KT_f","Gemeinde_KT_i","Text_i"
4786,30.4,30.4,69.6,"Wilen TG","Wilen (TG)","Wilen TG","Da Wilen TG è arrivato un ""no"" alle urne per l'aumento dell'età pensionabile delle donne a 65 anni. I cittadini hanno respinto il testo con il 69,6 percento dei voti. La seconda proposta concernente l'AVS è stata invece accettata con il 53,3 percento dei voti. A Wilen TG come nel 2017 gli elettroi hanno detto no - con il 53,2 percento dei voti – alla riforma dell'AVS."
4791,89.3,89.3,10.7,"Wuppenau TG","Wuppenau (TG)","Wuppenau TG","Nel comune di Wuppenau l'aumento dell'età pensionabile delle donne a 65 anni è stato approvato con il 89,3 percento dei voti. Anche la seconda proposta concernente l'AVS è stata accettata con il 64,7 percento dei voti. Wuppenau ha cambiato fazione: nel 2017 aveva rifiutato la riforma dell'AVS, mentre ora la approva."
4801,53.4,53.4,46.6,"Berlingen TG","Berlingen (TG)","Berlingen TG","Con il 53,4 percento di ""sì"", i cittadini del comune di Berlingen hanno accolto l'aumento dell'età pensionabile delle donne a 65 anni. La seconda proposta concernente l'AVS è stata invece respinta con il 44,5 percento dei voti. A Berlingen come nel 2017 gli elettroi hanno detto no - con il 61,4 percento dei voti – alla riforma dell'AVS."
4806,93,93,7,"Eschenz TG","Eschenz (TG)","Eschenz TG","Nel comune di Eschenz l'aumento dell'età pensionabile delle donne a 65 anni è stato approvato con il 93 percento dei voti. La seconda proposta concernente l'AVS è stata invece respinta con il 12,2 percento dei voti. A Eschenz come nel 2017 gli elettroi hanno detto no - con il 63,9 percento dei voti – alla riforma dell'AVS."
4811,35.1,35.1,64.9,"Herdern TG","Herdern (TG)","Herdern TG","I cittadini di Herdern si sono opposti all'aumento dell'età pensionabile delle donne a 65 anni. Il testo è stato respinto con il 64,9 percento dei voti. Anche la seconda proposta concernente l'AVS è stata respinta con il 43,2 percento dei voti. A Herdern come nel 2017 gli elettroi hanno detto no - con il 59,9 percento dei voti – alla riforma dell'AVS."
4816,68.8,68.8,31.2,"Homburg TG","Homburg (TG)","Homburg TG","A Homburg i cittadini hanno accolto, con il 68,8 percento dei voti, l'aumento dell'età pensionabile delle donne a 65 anni. Anche la seconda proposta concernente l'AVS è stata accettata con il 52,4 percento dei voti. Homburg ha cambiato fazione: nel 2017 aveva rifiutato la riforma dell'AVS, mentre ora la approva."
4821,83.6,83.6,16.4,"Hüttwilen TG","Hüttwilen (TG)","Hüttwilen TG","Nel comune di Hüttwilen l'aumento dell'età pensionabile delle donne a 65 anni è stato accettato con il 83,6 percento dei voti. La seconda proposta concernente l'AVS è stata invece respinta con il 45,4 percento dei voti. A Hüttwilen come nel 2017 gli elettroi hanno detto no - con il 61,3 percento dei voti – alla riforma dell'AVS."
4826,75,75,25,"Mammern TG","Mammern (TG)","Mammern TG","I cittadini di Mammern si sono espressi a favore dell'aumento dell'età pensionabile delle donne a 65 anni. Il testo è stato approvato con il 75 percento dei voti. La seconda proposta concernente l'AVS è stata invece respinta con il 28,1 percento dei voti. A Mammern come nel 2017 gli elettroi hanno detto no - con il 57,6 percento dei voti – alla riforma dell'AVS."
4831,50.2,50.2,49.8,"Müllheim TG","Müllheim (TG)","Müllheim TG","A Müllheim i cittadini hanno accolto, con il 50,2 percento dei voti, l'aumento dell'età pensionabile delle donne a 65 anni. Anche la seconda proposta concernente l'AVS è stata accettata con il 88,1 percento dei voti. Müllheim ha cambiato fazione: nel 2017 aveva rifiutato la riforma dell'AVS, mentre ora la approva."
4841,28.1,28.1,71.9,"Pfyn TG","Pfyn (TG)","Pfyn TG","Nel comune di Pfyn l'aumento dell'età pensionabile delle donne a 65 anni è stato bocciato con il 71,9 percento dei voti. La seconda proposta concernente l'AVS è stata invece accettata con il 63,7 percento dei voti. A Pfyn come nel 2017 gli elettroi hanno detto no - con il 62,4 percento dei voti – alla riforma dell'AVS."
4846,76,76,24,"Raperswilen TG","Raperswilen (TG)","Raperswilen TG","A Raperswilen i cittadini hanno accolto, con il 76 percento dei voti, l'aumento dell'età pensionabile delle donne a 65 anni. La seconda proposta concernente l'AVS è stata invece respinta con il 5,9 percento dei voti. A Raperswilen come nel 2017 gli elettroi hanno detto no - con il 72,9 percento dei voti – alla riforma dell'AVS."
4851,44,44,56,"Salenstein TG","Salenstein (TG)","Salenstein TG","Nel comune di Salenstein l'aumento dell'età pensionabile delle donne a 65 anni è stato respinto con il 56 percento dei voti. Anche la seconda proposta concernente l'AVS è stata respinta con il 46,5 percento dei voti. A Salenstein come nel 2017 gli elettroi hanno detto no - con il 62,5 percento dei voti – alla riforma dell'AVS."
4864,38.3,38.3,61.7,"Steckborn TG","Steckborn (TG)","Steckborn TG","Da Steckborn è arrivato un ""no"" alle urne per l'aumento dell'età pensionabile delle donne a 65 anni. I cittadini hanno respinto il testo con il 61,7 percento dei voti. La seconda proposta concernente l'AVS è stata invece accettata con il 82,9 percento dei voti. A Steckborn come nel 2017 gli elettroi hanno detto no - con il 55,5 percento dei voti – alla riforma dell'AVS."
4871,64.7,64.7,35.3,"Wagenhausen TG","Wagenhausen (TG)","Wagenhausen TG","Nel comune di Wagenhausen l'aumento dell'età pensionabile delle donne a 65 anni è stato accettato con il 64,7 percento dei voti. La seconda proposta concernente l'AVS è stata invece respinta con il 19,1 percento dei voti. A Wagenhausen come nel 2017 gli elettroi hanno detto no - con il 62,5 percento dei voti – alla riforma dell'AVS."
4881,64.6,64.6,35.4,"Amlikon-Bissegg TG","Amlikon-Bissegg (TG)","Amlikon-Bissegg TG","I cittadini di Amlikon-Bissegg si sono espressi a favore dell'aumento dell'età pensionabile delle donne a 65 anni. Il testo è stato approvato con il 64,6 percento dei voti. La seconda proposta concernente l'AVS è stata invece respinta con il 15,9 percento dei voti. A Amlikon-Bissegg come nel 2017 gli elettroi hanno detto no - con il 69,9 percento dei voti – alla riforma dell'AVS."
4891,50.5,50.5,49.5,"Berg TG","Berg (TG)","Berg TG","Da Berg TG è arrivato un ""sì"" alle urne per l'aumento dell'età pensionabile delle donne a 65 anni. I cittadini hanno accolto il testo con il 50,5 percento dei voti. Anche la seconda proposta concernente l'AVS è stata accettata con il 59,9 percento dei voti. Berg TG ha cambiato fazione: nel 2017 aveva rifiutato la riforma dell'AVS, mentre ora la approva."
4901,0.5,0.5,99.5,"Birwinken TG","Birwinken (TG)","Birwinken TG","Nel comune di Birwinken l'aumento dell'età pensionabile delle donne a 65 anni è stato bocciato con il 99,5 percento dei voti. La seconda proposta concernente l'AVS è stata invece accettata con il 50,6 percento dei voti. A Birwinken come nel 2017 gli elettroi hanno detto no - con il 69,2 percento dei voti – alla riforma dell'AVS."
4911,2.9,2.9,97.1,"Bürglen TG","Bürglen (TG)","Bürglen TG","Da Bürglen TG è arrivato un ""no"" alle urne per l'aumento dell'età pensionabile delle donne a 65 anni. I cittadini hanno respinto il testo con il 97,1 percento dei voti. La seconda proposta concernente l'AVS è stata invece accettata con il 86,3 percento dei voti. A Bürglen TG come nel 2017 gli elettroi hanno detto no - con il 64,8 percento dei voti – alla riforma dell'AVS."
4921,75.5,75.5,24.5,"Bussnang TG","Bussnang (TG)","Bussnang TG","I cittadini di Bussnang si sono espressi a favore dell'aumento dell'età pensionabile delle donne a 65 anni. Il testo è stato approvato con il 75,5 percento dei voti. Anche la seconda proposta concernente l'AVS è stata accettata con il 60,3 percento dei voti. Bussnang ha cambiato fazione: nel 2017 aveva rifiutato la riforma dell'AVS, mentre ora la approva."
4941,61.2,61.2,38.8,"Märstetten TG","Märstetten (TG)","Märstetten TG","Da Märstetten è arrivato un ""sì"" alle urne per l'aumento dell'età pensionabile delle donne a 65 anni. I cittadini hanno accolto il testo con il 61,2 percento dei voti. Anche la seconda proposta concernente l'AVS è stata accettata con il 51,4 percento dei voti. Märstetten ha cambiato fazione: nel 2017 aveva rifiutato la riforma dell'AVS, mentre ora la approva."
4946,52.6,52.6,47.4,"Weinfelden TG","Weinfelden (TG)","Weinfelden TG","Nel comune di Weinfelden l'aumento dell'età pensionabile delle donne a 65 anni è stato approvato con il 52,6 percento dei voti. Anche la seconda proposta concernente l'AVS è stata accettata con il 64,3 percento dei voti. Weinfelden ha cambiato fazione: nel 2017 aveva rifiutato la riforma dell'AVS, mentre ora la approva."
4951,75.1,75.1,24.9,"Wigoltingen TG","Wigoltingen (TG)","Wigoltingen TG","Con il 75,1 percento di ""sì"", i cittadini del comune di Wigoltingen hanno accolto l'aumento dell'età pensionabile delle donne a 65 anni. Anche la seconda proposta concernente l'AVS è stata accettata con il 58,8 percento dei voti. Wigoltingen ha cambiato fazione: nel 2017 aveva rifiutato la riforma dell'AVS, mentre ora la approva."
5001,8.6,8.6,91.4,"Arbedo-Castione TI","Arbedo-Castione (TI)","Arbedo-Castione TI","A Arbedo-Castione i cittadini hanno respinto, con il 91,4 percento dei voti, l'aumento dell'età pensionabile delle donne a 65 anni. La seconda proposta concernente l'AVS è stata invece accettata con il 77,7 percento dei voti. Arbedo-Castione ha cambiato fazione: nel 2017 era a favore della riforma AVS, mentre ora la boccia."
5002,24.8,24.8,75.2,"Bellinzona TI","Bellinzone (TI)","Bellinzona TI","Da Bellinzona è arrivato un ""no"" alle urne per l'aumento dell'età pensionabile delle donne a 65 anni. I cittadini hanno respinto il testo con il 75,2 percento dei voti. Anche la seconda proposta concernente l'AVS è stata respinta con il 29,7 percento dei voti. Bellinzona ha cambiato fazione: nel 2017 era a favore della riforma AVS, mentre ora la boccia."
5003,51.8,51.8,48.2,"Cadenazzo TI","Cadenazzo (TI)","Cadenazzo TI","Nel comune di Cadenazzo l'aumento dell'età pensionabile delle donne a 65 anni è stato approvato con il 51,8 percento dei voti. Anche la seconda proposta concernente l'AVS è stata accettata con il 66,3 percento dei voti. Cadenazzo ha cambiato fazione: nel 2017 aveva rifiutato la riforma dell'AVS, mentre ora la approva."
5009,41.1,41.1,58.9,"Isone TI","Isone (TI)","Isone TI","No all'aumento dell'età pensionabile delle donne a 65 anni nel comune di Isone: i cittadini hanno bocciato il testo con il 58,9 percento dei voti. Anche la seconda proposta concernente l'AVS è stata respinta con il 44,6 percento dei voti. A Isone come nel 2017 gli elettroi hanno detto no - con il 56,6 percento dei voti – alla riforma dell'AVS."
5010,96.3,96.3,3.7,"Lumino TI","Lumino (TI)","Lumino TI","Nel comune di Lumino l'aumento dell'età pensionabile delle donne a 65 anni è stato accettato con il 96,3 percento dei voti. La seconda proposta concernente l'AVS è stata invece respinta con il 0,4 percento dei voti. Lumino ha cambiato fazione: nel 2017 era a favore della riforma AVS, mentre ora la boccia."
5017,77.3,77.3,22.7,"Sant'Antonino TI","Sant'Antonino (TI)","Sant'Antonino TI","Nel comune di Sant'Antonino l'aumento dell'età pensionabile delle donne a 65 anni è stato accettato con il 77,3 percento dei voti. Anche la seconda proposta concernente l'AVS è stata accettata con il 90,1 percento dei voti. Sant'Antonino ha cambiato fazione: nel 2017 aveva rifiutato la riforma dell'AVS, mentre ora la approva."
5048,8.1,8.1,91.9,"Acquarossa TI","Acquarossa (TI)","Acquarossa TI","A Acquarossa i cittadini hanno respinto, con il 91,9 percento dei voti, l'aumento dell'età pensionabile delle donne a 65 anni. La seconda proposta concernente l'AVS è stata invece accettata con il 84,1 percento dei voti. Acquarossa ha cambiato fazione: nel 2017 era a favore della riforma AVS, mentre ora la boccia."
5049,5.6,5.6,94.4,"Blenio TI","Blenio (TI)","Blenio TI","A Blenio i cittadini hanno respinto, con il 94,4 percento dei voti, l'aumento dell'età pensionabile delle donne a 65 anni. Anche la seconda proposta concernente l'AVS è stata respinta con il 38,3 percento dei voti. Blenio ha cambiato fazione: nel 2017 era a favore della riforma AVS, mentre ora la boccia."
5050,46.9,46.9,53.1,"Serravalle TI","Serravalle (TI)","Serravalle TI","Nel comune di Serravalle l'aumento dell'età pensionabile delle donne a 65 anni è stato bocciato con il 53,1 percento dei voti. La seconda proposta concernente l'AVS è stata invece accettata con il 55,4 percento dei voti. Serravalle ha cambiato fazione: nel 2017 era a favore della riforma AVS, mentre ora la boccia."
5061,69.1,69.1,30.9,"Airolo TI","Airolo (TI)","Airolo TI","Nel comune di Airolo l'aumento dell'età pensionabile delle donne a 65 anni è stato approvato con il 69,1 percento dei voti. Anche la seconda proposta concernente l'AVS è stata accettata con il 51,8 percento dei voti. A Airolo come nel 2017 gli elettori hanno detto sì - con il 53,5 percento dei voti – alla riforma dell'AVS."
5063,54.1,54.1,45.9,"Bedretto TI","Bedretto (TI)","Bedretto TI","A Bedretto i cittadini hanno accolto, con il 54,1 percento dei voti, l'aumento dell'età pensionabile delle donne a 65 anni. Anche la seconda proposta concernente l'AVS è stata accettata con il 60,5 percento dei voti. A Bedretto come nel 2017 gli elettori hanno detto sì - con il 60,9 percento dei voti – alla riforma dell'AVS."
5064,88.1,88.1,11.9,"Bodio TI","Bodio (TI)","Bodio TI","Nel comune di Bodio l'aumento dell'età pensionabile delle donne a 65 anni è stato approvato con il 88,1 percento dei voti. Anche la seconda proposta concernente l'AVS è stata accettata con il 80,3 percento dei voti. A Bodio come nel 2017 gli elettori hanno detto sì - con il 57,8 percento dei voti – alla riforma dell'AVS."
5071,76.7,76.7,23.3,"Dalpe TI","Dalpe (TI)","Dalpe TI","Nel comune di Dalpe l'aumento dell'età pensionabile delle donne a 65 anni è stato accettato con il 76,7 percento dei voti. Anche la seconda proposta concernente l'AVS è stata accettata con il 76,6 percento dei voti. A Dalpe come nel 2017 gli elettori hanno detto sì - con il 59 percento dei voti – alla riforma dell'AVS."
5072,52.7,52.7,47.3,"Faido TI","Faido (TI)","Faido TI","Nel comune di Faido l'aumento dell'età pensionabile delle donne a 65 anni è stato accettato con il 52,7 percento dei voti. Anche la seconda proposta concernente l'AVS è stata accettata con il 58,4 percento dei voti. A Faido come nel 2017 gli elettori hanno detto sì - con il 58,5 percento dei voti – alla riforma dell'AVS."
5073,49.2,49.2,50.8,"Giornico TI","Giornico (TI)","Giornico TI","Da Giornico è arrivato un ""no"" alle urne per l'aumento dell'età pensionabile delle donne a 65 anni. I cittadini hanno respinto il testo con il 50,8 percento dei voti. La seconda proposta concernente l'AVS è stata invece accettata con il 71,1 percento dei voti. Giornico ha cambiato fazione: nel 2017 era a favore della riforma AVS, mentre ora la boccia."
5076,3,3,97,"Personico TI","Personico (TI)","Personico TI","Con il 97 percento di ""no"", i cittadini del comune di Personico hanno bocciato l'aumento dell'età pensionabile delle donne a 65 anni. Anche la seconda proposta concernente l'AVS è stata respinta con il 3,9 percento dei voti. Personico ha cambiato fazione: nel 2017 era a favore della riforma AVS, mentre ora la boccia."
5077,78.8,78.8,21.2,"Pollegio TI","Pollegio (TI)","Pollegio TI","I cittadini di Pollegio si sono espressi a favore dell'aumento dell'età pensionabile delle donne a 65 anni. Il testo è stato approvato con il 78,8 percento dei voti. La seconda proposta concernente l'AVS è stata invece respinta con il 36 percento dei voti. Pollegio ha cambiato fazione: nel 2017 era a favore della riforma AVS, mentre ora la boccia."
5078,84.1,84.1,15.9,"Prato (Leventina) TI","Prato (Leventina) (TI)","Prato (Leventina) TI","Nel comune di Prato (Leventina) l'aumento dell'età pensionabile delle donne a 65 anni è stato approvato con il 84,1 percento dei voti. Anche la seconda proposta concernente l'AVS è stata accettata con il 74,4 percento dei voti. A Prato (Leventina) come nel 2017 gli elettori hanno detto sì - con il 56,8 percento dei voti – alla riforma dell'AVS."
5079,2.1,2.1,97.9,"Quinto TI","Quinto (TI)","Quinto TI","Con il 97,9 percento di ""no"", i cittadini del comune di Quinto hanno bocciato l'aumento dell'età pensionabile delle donne a 65 anni. La seconda proposta concernente l'AVS è stata invece accettata con il 74,9 percento dei voti. Quinto ha cambiato fazione: nel 2017 era a favore della riforma AVS, mentre ora la boccia."
5091,59.5,59.5,40.5,"Ascona TI","Ascona (TI)","Ascona TI","Da Ascona è arrivato un ""sì"" alle urne per l'aumento dell'età pensionabile delle donne a 65 anni. I cittadini hanno accolto il testo con il 59,5 percento dei voti. Anche la seconda proposta concernente l'AVS è stata accettata con il 89,6 percento dei voti. A Ascona come nel 2017 gli elettori hanno detto sì - con il 50,7 percento dei voti – alla riforma dell'AVS."
5096,33.7,33.7,66.3,"Brione sopra Minusio TI","Brione sopra Minusio (TI)","Brione sopra Minusio TI","No all'aumento dell'età pensionabile delle donne a 65 anni nel comune di Brione sopra Minusio: i cittadini hanno bocciato il testo con il 66,3 percento dei voti. Anche la seconda proposta concernente l'AVS è stata respinta con il 48 percento dei voti. Brione sopra Minusio ha cambiato fazione: nel 2017 era a favore della riforma AVS, mentre ora la boccia."
5097,23.7,23.7,76.3,"Brissago TI","Brissago (TI)","Brissago TI","A Brissago i cittadini hanno respinto, con il 76,3 percento dei voti, l'aumento dell'età pensionabile delle donne a 65 anni. Anche la seconda proposta concernente l'AVS è stata respinta con il 23,9 percento dei voti. A Brissago come nel 2017 gli elettroi hanno detto no - con il 51,6 percento dei voti – alla riforma dell'AVS."
5108,20.3,20.3,79.7,"Gordola TI","Gordola (TI)","Gordola TI","Nel comune di Gordola l'aumento dell'età pensionabile delle donne a 65 anni è stato bocciato con il 79,7 percento dei voti. Anche la seconda proposta concernente l'AVS è stata respinta con il 15 percento dei voti. Gordola ha cambiato fazione: nel 2017 era a favore della riforma AVS, mentre ora la boccia."
5112,63,63,37,"Lavertezzo TI","Lavertezzo (TI)","Lavertezzo TI","Sì all'aumento dell'età pensionabile delle donne a 65 anni nel comune di Lavertezzo: i cittadini hanno approvato il testo con il 63 percento dei voti. Anche la seconda proposta concernente l'AVS è stata accettata con il 90,3 percento dei voti. A Lavertezzo come nel 2017 gli elettori hanno detto sì - con il 53,3 percento dei voti – alla riforma dell'AVS."
5113,65.3,65.3,34.7,"Locarno TI","Locarno (TI)","Locarno TI","Sì all'aumento dell'età pensionabile delle donne a 65 anni nel comune di Locarno: i cittadini hanno approvato il testo con il 65,3 percento dei voti. La seconda proposta concernente l'AVS è stata invece respinta con il 43,9 percento dei voti. Locarno ha cambiato fazione: nel 2017 era a favore della riforma AVS, mentre ora la boccia."
5115,59.1,59.1,40.9,"Losone TI","Losone (TI)","Losone TI","Nel comune di Losone l'aumento dell'età pensionabile delle donne a 65 anni è stato approvato con il 59,1 percento dei voti. Anche la seconda proposta concernente l'AVS è stata accettata con il 75,7 percento dei voti. A Losone come nel 2017 gli elettori hanno detto sì - con il 51,9 percento dei voti – alla riforma dell'AVS."
5117,46.3,46.3,53.7,"Mergoscia TI","Mergoscia (TI)","Mergoscia TI","Nel comune di Mergoscia l'aumento dell'età pensionabile delle donne a 65 anni è stato bocciato con il 53,7 percento dei voti. La seconda proposta concernente l'AVS è stata invece accettata con il 94 percento dei voti. A Mergoscia come nel 2017 gli elettroi hanno detto no - con il 53,3 percento dei voti – alla riforma dell'AVS."
5118,48.1,48.1,51.9,"Minusio TI","Minusio (TI)","Minusio TI","Da Minusio è arrivato un ""no"" alle urne per l'aumento dell'età pensionabile delle donne a 65 anni. I cittadini hanno respinto il testo con il 51,9 percento dei voti. La seconda proposta concernente l'AVS è stata invece accettata con il 85,4 percento dei voti. Minusio ha cambiato fazione: nel 2017 era a favore della riforma AVS, mentre ora la boccia."
5120,19.7,19.7,80.3,"Muralto TI","Muralto (TI)","Muralto TI","I cittadini di Muralto si sono opposti all'aumento dell'età pensionabile delle donne a 65 anni. Il testo è stato respinto con il 80,3 percento dei voti. La seconda proposta concernente l'AVS è stata invece accettata con il 98 percento dei voti. Muralto ha cambiato fazione: nel 2017 era a favore della riforma AVS, mentre ora la boccia."
5121,28.9,28.9,71.1,"Orselina TI","Orselina (TI)","Orselina TI","Nel comune di Orselina l'aumento dell'età pensionabile delle donne a 65 anni è stato respinto con il 71,1 percento dei voti. Anche la seconda proposta concernente l'AVS è stata respinta con il 29,7 percento dei voti. A Orselina come nel 2017 gli elettroi hanno detto no - con il 52,6 percento dei voti – alla riforma dell'AVS."
5125,66.1,66.1,33.9,"Ronco sopra Ascona TI","Ronco sopra Ascona (TI)","Ronco sopra Ascona TI","Nel comune di Ronco sopra Ascona l'aumento dell'età pensionabile delle donne a 65 anni è stato approvato con il 66,1 percento dei voti. Anche la seconda proposta concernente l'AVS è stata accettata con il 64,9 percento dei voti. A Ronco sopra Ascona come nel 2017 gli elettori hanno detto sì - con il 50,2 percento dei voti – alla riforma dell'AVS."
5131,97,97,3,"Tenero-Contra TI","Tenero-Contra (TI)","Tenero-Contra TI","Con il 97 percento di ""sì"", i cittadini del comune di Tenero-Contra hanno accolto l'aumento dell'età pensionabile delle donne a 65 anni. La seconda proposta concernente l'AVS è stata invece respinta con il 29 percento dei voti. Tenero-Contra ha cambiato fazione: nel 2017 era a favore della riforma AVS, mentre ora la boccia."
5136,58.8,58.8,41.2,"Onsernone TI","Onsernone (TI)","Onsernone TI","Sì all'aumento dell'età pensionabile delle donne a 65 anni nel comune di Onsernone: i cittadini hanno approvato il testo con il 58,8 percento dei voti. La seconda proposta concernente l'AVS è stata invece respinta con il 44,9 percento dei voti. Onsernone ha cambiato fazione: nel 2017 era a favore della riforma AVS, mentre ora la boccia."
5138,20.3,20.3,79.7,"Cugnasco-Gerra TI","Cugnasco-Gerra (TI)","Cugnasco-Gerra TI","No all'aumento dell'età pensionabile delle donne a 65 anni nel comune di Cugnasco-Gerra: i cittadini hanno bocciato il testo con il 79,7 percento dei voti. La seconda proposta concernente l'AVS è stata invece accettata con il 82,8 percento dei voti. A Cugnasco-Gerra come nel 2017 gli elettroi hanno detto no - con il 50,8 percento dei voti – alla riforma dell'AVS."
5141,53.7,53.7,46.3,"Agno TI","Agno (TI)","Agno TI","Con il 53,7 percento di ""sì"", i cittadini del comune di Agno hanno accolto l'aumento dell'età pensionabile delle donne a 65 anni. La seconda proposta concernente l'AVS è stata invece respinta con il 6,8 percento dei voti. A Agno come nel 2017 gli elettroi hanno detto no - con il 51,9 percento dei voti – alla riforma dell'AVS."
5143,72.1,72.1,27.9,"Aranno TI","Aranno (TI)","Aranno TI","A Aranno i cittadini hanno accolto, con il 72,1 percento dei voti, l'aumento dell'età pensionabile delle donne a 65 anni. La seconda proposta concernente l'AVS è stata invece respinta con il 9,8 percento dei voti. Aranno ha cambiato fazione: nel 2017 era a favore della riforma AVS, mentre ora la boccia."
5144,9.1,9.1,90.9,"Arogno TI","Arogno (TI)","Arogno TI","I cittadini di Arogno si sono opposti all'aumento dell'età pensionabile delle donne a 65 anni. Il testo è stato respinto con il 90,9 percento dei voti. Anche la seconda proposta concernente l'AVS è stata respinta con il 9,5 percento dei voti. Arogno ha cambiato fazione: nel 2017 era a favore della riforma AVS, mentre ora la boccia."
5146,95.2,95.2,4.8,"Astano TI","Astano (TI)","Astano TI","Da Astano è arrivato un ""sì"" alle urne per l'aumento dell'età pensionabile delle donne a 65 anni. I cittadini hanno accolto il testo con il 95,2 percento dei voti. La seconda proposta concernente l'AVS è stata invece respinta con il 44,5 percento dei voti. Astano ha cambiato fazione: nel 2017 era a favore della riforma AVS, mentre ora la boccia."
5148,35.8,35.8,64.2,"Bedano TI","Bedano (TI)","Bedano TI","Da Bedano è arrivato un ""no"" alle urne per l'aumento dell'età pensionabile delle donne a 65 anni. I cittadini hanno respinto il testo con il 64,2 percento dei voti. La seconda proposta concernente l'AVS è stata invece accettata con il 70,8 percento dei voti. A Bedano come nel 2017 gli elettroi hanno detto no - con il 53,7 percento dei voti – alla riforma dell'AVS."
5149,83.1,83.1,16.9,"Bedigliora TI","Bedigliora (TI)","Bedigliora TI","Sì all'aumento dell'età pensionabile delle donne a 65 anni nel comune di Bedigliora: i cittadini hanno approvato il testo con il 83,1 percento dei voti. La seconda proposta concernente l'AVS è stata invece respinta con il 35,8 percento dei voti. Bedigliora ha cambiato fazione: nel 2017 era a favore della riforma AVS, mentre ora la boccia."
5151,31.1,31.1,68.9,"Bioggio TI","Bioggio (TI)","Bioggio TI","Nel comune di Bioggio l'aumento dell'età pensionabile delle donne a 65 anni è stato bocciato con il 68,9 percento dei voti. Anche la seconda proposta concernente l'AVS è stata respinta con il 36,2 percento dei voti. A Bioggio come nel 2017 gli elettroi hanno detto no - con il 50,5 percento dei voti – alla riforma dell'AVS."
5154,67.9,67.9,32.1,"Bissone TI","Bissone (TI)","Bissone TI","Con il 67,9 percento di ""sì"", i cittadini del comune di Bissone hanno accolto l'aumento dell'età pensionabile delle donne a 65 anni. Anche la seconda proposta concernente l'AVS è stata accettata con il 56,8 percento dei voti. Bissone ha cambiato fazione: nel 2017 aveva rifiutato la riforma dell'AVS, mentre ora la approva."
5160,17.1,17.1,82.9,"Brusino Arsizio TI","Brusino Arsizio (TI)","Brusino Arsizio TI","No all'aumento dell'età pensionabile delle donne a 65 anni nel comune di Brusino Arsizio: i cittadini hanno bocciato il testo con il 82,9 percento dei voti. Anche la seconda proposta concernente l'AVS è stata respinta con il 32,1 percento dei voti. A Brusino Arsizio come nel 2017 gli elettroi hanno detto no - con il 50,3 percento dei voti – alla riforma dell'AVS."
5161,35.7,35.7,64.3,"Cademario TI","Cademario (TI)","Cademario TI","A Cademario i cittadini hanno respinto, con il 64,3 percento dei voti, l'aumento dell'età pensionabile delle donne a 65 anni. La seconda proposta concernente l'AVS è stata invece accettata con il 72,9 percento dei voti."
5162,75.8,75.8,24.2,"Cadempino TI","Cadempino (TI)","Cadempino TI","Da Cadempino è arrivato un ""sì"" alle urne per l'aumento dell'età pensionabile delle donne a 65 anni. I cittadini hanno accolto il testo con il 75,8 percento dei voti. Anche la seconda proposta concernente l'AVS è stata accettata con il 75,3 percento dei voti. A Cadempino come nel 2017 gli elettori hanno detto sì - con il 51,3 percento dei voti – alla riforma dell'AVS."
5167,47.8,47.8,52.2,"Canobbio TI","Canobbio (TI)","Canobbio TI","Con il 52,2 percento di ""no"", i cittadini del comune di Canobbio hanno bocciato l'aumento dell'età pensionabile delle donne a 65 anni. La seconda proposta concernente l'AVS è stata invece accettata con il 57,9 percento dei voti. Canobbio ha cambiato fazione: nel 2017 era a favore della riforma AVS, mentre ora la boccia."
5171,41.3,41.3,58.7,"Caslano TI","Caslano (TI)","Caslano TI","A Caslano i cittadini hanno respinto, con il 58,7 percento dei voti, l'aumento dell'età pensionabile delle donne a 65 anni. Anche la seconda proposta concernente l'AVS è stata respinta con il 10,2 percento dei voti. Caslano ha cambiato fazione: nel 2017 era a favore della riforma AVS, mentre ora la boccia."
5176,33.2,33.2,66.8,"Comano TI","Comano (TI)","Comano TI","A Comano i cittadini hanno respinto, con il 66,8 percento dei voti, l'aumento dell'età pensionabile delle donne a 65 anni. La seconda proposta concernente l'AVS è stata invece accettata con il 68,6 percento dei voti. Comano ha cambiato fazione: nel 2017 era a favore della riforma AVS, mentre ora la boccia."
5180,77.8,77.8,22.2,"Cureglia TI","Cureglia (TI)","Cureglia TI","Da Cureglia è arrivato un ""sì"" alle urne per l'aumento dell'età pensionabile delle donne a 65 anni. I cittadini hanno accolto il testo con il 77,8 percento dei voti. Anche la seconda proposta concernente l'AVS è stata accettata con il 65,3 percento dei voti. A Cureglia come nel 2017 gli elettori hanno detto sì - con il 54 percento dei voti – alla riforma dell'AVS."
5181,64.7,64.7,35.3,"Curio TI","Curio (TI)","Curio TI","Con il 64,7 percento di ""sì"", i cittadini del comune di Curio hanno accolto l'aumento dell'età pensionabile delle donne a 65 anni. Anche la seconda proposta concernente l'AVS è stata accettata con il 65,9 percento dei voti. Curio ha cambiato fazione: nel 2017 aveva rifiutato la riforma dell'AVS, mentre ora la approva."
