"Gemeinde_Nr","Gemeinde_color","Ja_Stimmen_In_Prozent","Nein_Stimmen_In_Prozent","Gemeinde_KT_d","Gemeinde_KT_f","Gemeinde_KT_i","Text_f"
5407,75.7,75.7,24.3,"Leysin VD","Leysin (VD)","Leysin VD","Les électeurs de Leysin valident la révision de l'AVS, qui prévoit de relever l'âge du départ à la retraite des femmes, avec 75,7 pour cent de oui. La deuxième proposition concernant l'AVS soumise au verdict des urnes ce dimanche a par contre été refusée avec 55,2 pour cent de non. Les citoyens de Leysin avaient déjà refusé la précédente révision de l'AVS en 2017."
5408,33.1,33.1,66.9,"Noville VD","Noville (VD)","Noville VD","La réforme de l'AVS, qui prévoit de relever d'un an l'âge du départ à la retraite des femmes, ne passe pas la rampe à Noville avec 66,9 pour cent des suffrages. Si cette proposition a été refusée, l'autre concernant la révision de l'AVS a été acceptée ce dimanche avec 71,7 pour cent des suffrages. Les citoyens de Noville avaient déjà refusé la précédente révision de l'AVS en 2017."
5409,40.5,40.5,59.5,"Ollon VD","Ollon (VD)","Ollon VD","La réforme de l'AVS, qui prévoit de relever d'un an l'âge du départ à la retraite des femmes, échoue à Ollon avec 59,5 pour cent de non. Si cette proposition a été refusée, l'autre concernant la révision de l'AVS a été acceptée ce dimanche avec 56,2 pour cent des suffrages. Les citoyens d'Ollon avaient déjà refusé la précédente révision de l'AVS en 2017."
5410,45.7,45.7,54.3,"Ormont-Dessous VD","Ormont-Dessous (VD)","Ormont-Dessous VD","Les habitants d'Ormont-Dessous rejettent la réforme de l'AVS, qui passe par un relèvement de l'âge du départ à la retraite des femmes, avec 54,3 pour cent de non. Si cette proposition a été refusée, l'autre concernant la révision de l'AVS a été acceptée ce dimanche avec 68,7 pour cent des suffrages. Les citoyens d'Ormont-Dessous avaient déjà refusé la précédente révision de l'AVS en 2017."
5411,46.8,46.8,53.2,"Ormont-Dessus VD","Ormont-Dessus (VD)","Ormont-Dessus VD","La réforme de l'AVS, qui prévoit de relever d'un an l'âge du départ à la retraite des femmes, échoue à Ormont-Dessus avec 53,2 pour cent de non. L'autre proposition concernant la révision de l'AVS a aussi été refusée ce dimanche avec 54,5 pour cent de non. Les citoyens d'Ormont-Dessus avaient déjà refusé la précédente révision de l'AVS en 2017."
5412,57.4,57.4,42.6,"Rennaz VD","Rennaz (VD)","Rennaz VD","La réforme de l'AVS, qui prévoit de relever l'âge du départ à la retraite des femmes, passe la rampe à Rennaz avec 57,4 pour cent de oui. La deuxième proposition concernant l'AVS soumise au verdict des urnes ce dimanche a également été acceptée par 55,6 pour cent des voix. Dans le camp du non en 2017 lors de la précédente révision de l'AVS, Rennaz passe cette fois-ci du côté du oui."
5413,48.7,48.7,51.3,"Roche VD","Roche (VD)","Roche VD","A Roche (VD), les habitants disent non à 51,3 pour cent à la réforme de l'AVS, qui passe par un relèvement de l'âge du départ à la retraite des femmes. L'autre proposition concernant la révision de l'AVS a aussi été refusée ce dimanche avec 78,2 pour cent de non. Les citoyens de Roche (VD) avaient déjà refusé la précédente révision de l'AVS en 2017."
5414,66.2,66.2,33.8,"Villeneuve VD","Villeneuve (VD)","Villeneuve VD","A Villeneuve (VD), les habitants disent oui à 66,2 pour cent à la réforme de l'AVS, qui passe par un relèvement de l'âge du départ à la retraite des femmes. La deuxième proposition concernant l'AVS soumise au verdict des urnes ce dimanche a également été acceptée par 84,4 pour cent des voix. Dans le camp du non en 2017 lors de la précédente révision de l'AVS, Villeneuve (VD) passe cette fois-ci du côté du oui."
5415,75.6,75.6,24.4,"Yvorne VD","Yvorne (VD)","Yvorne VD","La réforme de l'AVS, qui prévoit de relever l'âge du départ à la retraite des femmes, passe la rampe à Yvorne avec 75,6 pour cent de oui. La deuxième proposition concernant l'AVS soumise au verdict des urnes ce dimanche a également été acceptée par 96 pour cent des voix. Dans le camp du non en 2017 lors de la précédente révision de l'AVS, Yvorne passe cette fois-ci du côté du oui."
5422,64.3,64.3,35.7,"Aubonne VD","Aubonne (VD)","Aubonne VD","La réforme de l'AVS, qui prévoit de relever l'âge du départ à la retraite des femmes, passe la rampe à Aubonne avec 64,3 pour cent de oui. La deuxième proposition concernant l'AVS soumise au verdict des urnes ce dimanche a par contre été refusée avec 81,1 pour cent de non. Aubonne avait accepté la précédente révision en 2017. Elle dit non cette fois-ci."
5423,7,7,93,"Ballens VD","Ballens (VD)","Ballens VD","A Ballens, les habitants disent non à 93 pour cent à la réforme de l'AVS, qui passe par un relèvement de l'âge du départ à la retraite des femmes. L'autre proposition concernant la révision de l'AVS a aussi été refusée ce dimanche avec 98,4 pour cent de non. Les citoyens de Ballens avaient déjà refusé la précédente révision de l'AVS en 2017."
5424,44.4,44.4,55.6,"Berolle VD","Berolle (VD)","Berolle VD","Les habitants de Berolle rejettent la réforme de l'AVS, qui passe par un relèvement de l'âge du départ à la retraite des femmes, avec 55,6 pour cent de non. Si cette proposition a été refusée, l'autre concernant la révision de l'AVS a été acceptée ce dimanche avec 81 pour cent des suffrages. Berolle avait accepté la précédente révision en 2017. Elle dit non cette fois-ci."
5425,46.2,46.2,53.8,"Bière VD","Bière (VD)","Bière VD","Les habitants de Bière s'opposent à la réforme de l'AVS, qui passe par un relèvement de l'âge du départ à la retraite des femmes, avec 53,8 pour cent de non. L'autre proposition concernant la révision de l'AVS a aussi été refusée ce dimanche avec 61 pour cent de non. Les citoyens de Bière avaient déjà refusé la précédente révision de l'AVS en 2017."
5426,65,65,35,"Bougy-Villars VD","Bougy-Villars (VD)","Bougy-Villars VD","C'est oui à 65 pour cent à la réforme de l'AVS à Bougy-Villars. Les femmes partiront à la retraite à l'âge de auf 65 ans. La deuxième proposition concernant l'AVS soumise au verdict des urnes ce dimanche a également été acceptée par 67,6 pour cent des voix. Dans le camp du non en 2017 lors de la précédente révision de l'AVS, Bougy-Villars passe cette fois-ci du côté du oui."
5427,18.3,18.3,81.7,"Féchy VD","Féchy (VD)","Féchy VD","A Féchy, les habitants disent non à 81,7 pour cent à la réforme de l'AVS, qui passe par un relèvement de l'âge du départ à la retraite des femmes. L'autre proposition concernant la révision de l'AVS a aussi été refusée ce dimanche avec 95,1 pour cent de non. Féchy avait accepté la précédente révision en 2017. Elle dit non cette fois-ci."
5428,56.8,56.8,43.2,"Gimel VD","Gimel (VD)","Gimel VD","A Gimel, les habitants sont favorables à la réforme de l'AVS, qui passe par un relèvement de l'âge du départ à la retraite des femmes, avec 56,8 pour cent de oui. La deuxième proposition concernant l'AVS soumise au verdict des urnes ce dimanche a par contre été refusée avec 50,9 pour cent de non. Les citoyens de Gimel avaient déjà refusé la précédente révision de l'AVS en 2017."
5429,49.6,49.6,50.4,"Longirod VD","Longirod (VD)","Longirod VD","Les habitants de Longirod rejettent la réforme de l'AVS, qui passe par un relèvement de l'âge du départ à la retraite des femmes, avec 50,4 pour cent de non. Si cette proposition a été refusée, l'autre concernant la révision de l'AVS a été acceptée ce dimanche avec 60,4 pour cent des suffrages. Longirod avait accepté la précédente révision en 2017. Elle dit non cette fois-ci."
5430,70.3,70.3,29.7,"Marchissy VD","Marchissy (VD)","Marchissy VD","A Marchissy, les habitants disent oui à 70,3 pour cent à la réforme de l'AVS, qui passe par un relèvement de l'âge du départ à la retraite des femmes. La deuxième proposition concernant l'AVS soumise au verdict des urnes ce dimanche a par contre été refusée avec 67,2 pour cent de non. Les citoyens de Marchissy avaient déjà refusé la précédente révision de l'AVS en 2017."
5431,39.2,39.2,60.8,"Mollens VD","Mollens (VD)","Mollens VD","La réforme de l'AVS, qui prévoit de relever d'un an l'âge du départ à la retraite des femmes, échoue à Mollens (VD) avec 60,8 pour cent de non. L'autre proposition concernant la révision de l'AVS a aussi été refusée ce dimanche avec 57,6 pour cent de non. Les citoyens de Mollens (VD) avaient déjà refusé la précédente révision de l'AVS en 2017."
5434,22.1,22.1,77.9,"Saint-George VD","Saint-George (VD)","Saint-George VD","La réforme de l'AVS, qui prévoit de relever d'un an l'âge du départ à la retraite des femmes, échoue à Saint-George avec 77,9 pour cent de non. Si cette proposition a été refusée, l'autre concernant la révision de l'AVS a été acceptée ce dimanche avec 89,8 pour cent des suffrages. Les citoyens de Saint-George avaient déjà refusé la précédente révision de l'AVS en 2017."
5435,44,44,56,"Saint-Livres VD","Saint-Livres (VD)","Saint-Livres VD","A Saint-Livres, les habitants sont défavorables à la réforme de l'AVS, qui passe par un relèvement de l'âge du départ à la retraite des femmes, avec 56 pour cent de non. L'autre proposition concernant la révision de l'AVS a aussi été refusée ce dimanche avec 50,3 pour cent de non. Saint-Livres avait accepté la précédente révision en 2017. Elle dit non cette fois-ci."
5436,10.7,10.7,89.3,"Saint-Oyens VD","Saint-Oyens (VD)","Saint-Oyens VD","Les habitants de Saint-Oyens s'opposent à la réforme de l'AVS, qui passe par un relèvement de l'âge du départ à la retraite des femmes, avec 89,3 pour cent de non. L'autre proposition concernant la révision de l'AVS a aussi été refusée ce dimanche avec 51,8 pour cent de non. Les citoyens de Saint-Oyens avaient déjà refusé la précédente révision de l'AVS en 2017."
5437,44.9,44.9,55.1,"Saubraz VD","Saubraz (VD)","Saubraz VD","A Saubraz, les habitants disent non à 55,1 pour cent à la réforme de l'AVS, qui passe par un relèvement de l'âge du départ à la retraite des femmes. Si cette proposition a été refusée, l'autre concernant la révision de l'AVS a été acceptée ce dimanche avec 84,7 pour cent des suffrages. Les citoyens de Saubraz avaient déjà refusé la précédente révision de l'AVS en 2017."
5451,49.1,49.1,50.9,"Avenches VD","Avenches (VD)","Avenches VD","La réforme de l'AVS, qui prévoit de relever d'un an l'âge du départ à la retraite des femmes, échoue à Avenches avec 50,9 pour cent de non. L'autre proposition concernant la révision de l'AVS a aussi été refusée ce dimanche avec 60,7 pour cent de non. Les citoyens d'Avenches avaient déjà refusé la précédente révision de l'AVS en 2017."
5456,31.6,31.6,68.4,"Cudrefin VD","Cudrefin (VD)","Cudrefin VD","A Cudrefin, les habitants disent non à 68,4 pour cent à la réforme de l'AVS, qui passe par un relèvement de l'âge du départ à la retraite des femmes. L'autre proposition concernant la révision de l'AVS a aussi été refusée ce dimanche avec 51,1 pour cent de non. Les citoyens de Cudrefin avaient déjà refusé la précédente révision de l'AVS en 2017."
5458,60,60,40,"Faoug VD","Faoug (VD)","Faoug VD","La réforme de l'AVS, qui prévoit de relever l'âge du départ à la retraite des femmes, passe la rampe à Faoug avec 60 pour cent de oui. La deuxième proposition concernant l'AVS soumise au verdict des urnes ce dimanche a également été acceptée par 68,7 pour cent des voix. Les électeurs de Faoug avaient déjà voté oui à la précédente réforme de l'AVS en 2017."
5464,62.1,62.1,37.9,"Vully-les-Lacs VD","Vully-les-Lacs (VD)","Vully-les-Lacs VD","A Vully-les-Lacs, les habitants disent oui à 62,1 pour cent à la réforme de l'AVS, qui passe par un relèvement de l'âge du départ à la retraite des femmes. La deuxième proposition concernant l'AVS soumise au verdict des urnes ce dimanche a également été acceptée par 55,1 pour cent des voix. Dans le camp du non en 2017 lors de la précédente révision de l'AVS, Vully-les-Lacs passe cette fois-ci du côté du oui."
5471,94.9,94.9,5.1,"Bettens VD","Bettens (VD)","Bettens VD","Les électeurs de Bettens valident la révision de l'AVS, qui prévoit de relever l'âge du départ à la retraite des femmes, avec 94,9 pour cent de oui. La deuxième proposition concernant l'AVS soumise au verdict des urnes ce dimanche a également été acceptée par 71,3 pour cent des voix. Dans le camp du non en 2017 lors de la précédente révision de l'AVS, Bettens passe cette fois-ci du côté du oui."
5472,62.1,62.1,37.9,"Bournens VD","Bournens (VD)","Bournens VD","Les habitants de Bournens approuvent la réforme de l'AVS, qui passe par un relèvement de l'âge du départ à la retraite des femmes, avec 62,1 pour cent de oui. La deuxième proposition concernant l'AVS soumise au verdict des urnes ce dimanche a également été acceptée par 72,8 pour cent des voix. Dans le camp du non en 2017 lors de la précédente révision de l'AVS, Bournens passe cette fois-ci du côté du oui."
5473,44.3,44.3,55.7,"Boussens VD","Boussens (VD)","Boussens VD","Les habitants de Boussens rejettent la réforme de l'AVS, qui passe par un relèvement de l'âge du départ à la retraite des femmes, avec 55,7 pour cent de non. Si cette proposition a été refusée, l'autre concernant la révision de l'AVS a été acceptée ce dimanche avec 95,5 pour cent des suffrages. Les citoyens de Boussens avaient déjà refusé la précédente révision de l'AVS en 2017."
5474,85.7,85.7,14.3,"La Chaux (Cossonay) VD","La Chaux (Cossonay) (VD)","La Chaux (Cossonay) VD","A La Chaux (Cossonay), les habitants sont favorables à la réforme de l'AVS, qui passe par un relèvement de l'âge du départ à la retraite des femmes, avec 85,7 pour cent de oui. La deuxième proposition concernant l'AVS soumise au verdict des urnes ce dimanche a par contre été refusée avec 77,6 pour cent de non. Les citoyens de La Chaux (Cossonay) avaient déjà refusé la précédente révision de l'AVS en 2017."
5475,50.3,50.3,49.7,"Chavannes-le-Veyron VD","Chavannes-le-Veyron (VD)","Chavannes-le-Veyron VD","Les habitants de Chavannes-le-Veyron acceptent la réforme de l'AVS, qui passe par un relèvement de l'âge du départ à la retraite des femmes, avec 50,3 pour cent de oui. La deuxième proposition concernant l'AVS soumise au verdict des urnes ce dimanche a également été acceptée par 51,6 pour cent des voix. Dans le camp du non en 2017 lors de la précédente révision de l'AVS, Chavannes-le-Veyron passe cette fois-ci du côté du oui."
5476,55.5,55.5,44.5,"Chevilly VD","Chevilly (VD)","Chevilly VD","La réforme de l'AVS, qui prévoit de relever l'âge du départ à la retraite des femmes, passe la rampe à Chevilly avec 55,5 pour cent de oui. La deuxième proposition concernant l'AVS soumise au verdict des urnes ce dimanche a par contre été refusée avec 61,7 pour cent de non. Chevilly avait accepté la précédente révision en 2017. Elle dit non cette fois-ci."
5477,7.6,7.6,92.4,"Cossonay VD","Cossonay (VD)","Cossonay VD","Les habitants de Cossonay rejettent la réforme de l'AVS, qui passe par un relèvement de l'âge du départ à la retraite des femmes, avec 92,4 pour cent de non. L'autre proposition concernant la révision de l'AVS a aussi été refusée ce dimanche avec 75,5 pour cent de non. Cossonay avait accepté la précédente révision en 2017. Elle dit non cette fois-ci."
5479,40.4,40.4,59.6,"Cuarnens VD","Cuarnens (VD)","Cuarnens VD","La réforme de l'AVS, qui prévoit de relever d'un an l'âge du départ à la retraite des femmes, ne passe pas la rampe à Cuarnens avec 59,6 pour cent des suffrages. L'autre proposition concernant la révision de l'AVS a aussi été refusée ce dimanche avec 75,2 pour cent de non. Les citoyens de Cuarnens avaient déjà refusé la précédente révision de l'AVS en 2017."
5480,79.3,79.3,20.7,"Daillens VD","Daillens (VD)","Daillens VD","Les habitants de Daillens approuvent la réforme de l'AVS, qui passe par un relèvement de l'âge du départ à la retraite des femmes, avec 79,3 pour cent de oui. La deuxième proposition concernant l'AVS soumise au verdict des urnes ce dimanche a par contre été refusée avec 65,6 pour cent de non. Les citoyens de Daillens avaient déjà refusé la précédente révision de l'AVS en 2017."
5481,67.7,67.7,32.3,"Dizy VD","Dizy (VD)","Dizy VD","C'est oui à 67,7 pour cent à la réforme de l'AVS à Dizy. Les femmes partiront à la retraite à l'âge de auf 65 ans. La deuxième proposition concernant l'AVS soumise au verdict des urnes ce dimanche a par contre été refusée avec 85,2 pour cent de non. Dizy avait accepté la précédente révision en 2017. Elle dit non cette fois-ci."
5482,48.2,48.2,51.8,"Eclépens VD","Eclépens (VD)","Eclépens VD","Les habitants d'Eclépens rejettent la réforme de l'AVS, qui passe par un relèvement de l'âge du départ à la retraite des femmes, avec 51,8 pour cent de non. Si cette proposition a été refusée, l'autre concernant la révision de l'AVS a été acceptée ce dimanche avec 59,9 pour cent des suffrages. Les citoyens d'Eclépens avaient déjà refusé la précédente révision de l'AVS en 2017."
5483,51.1,51.1,48.9,"Ferreyres VD","Ferreyres (VD)","Ferreyres VD","A Ferreyres, les habitants disent oui à 51,1 pour cent à la réforme de l'AVS, qui passe par un relèvement de l'âge du départ à la retraite des femmes. La deuxième proposition concernant l'AVS soumise au verdict des urnes ce dimanche a également été acceptée par 56,5 pour cent des voix. Les électeurs de Ferreyres avaient déjà voté oui à la précédente réforme de l'AVS en 2017."
5484,62.1,62.1,37.9,"Gollion VD","Gollion (VD)","Gollion VD","A Gollion, les habitants sont favorables à la réforme de l'AVS, qui passe par un relèvement de l'âge du départ à la retraite des femmes, avec 62,1 pour cent de oui. La deuxième proposition concernant l'AVS soumise au verdict des urnes ce dimanche a par contre été refusée avec 50,8 pour cent de non. Les citoyens de Gollion avaient déjà refusé la précédente révision de l'AVS en 2017."
5485,43.7,43.7,56.3,"Grancy VD","Grancy (VD)","Grancy VD","C'est non à 56,3 pour cent à la réforme de l'AVS, qui passe par un relèvement de l'âge du départ à la retraite des femmes, à Grancy. L'autre proposition concernant la révision de l'AVS a aussi été refusée ce dimanche avec 71,2 pour cent de non. Grancy avait accepté la précédente révision en 2017. Elle dit non cette fois-ci."
5486,26.2,26.2,73.8,"L'Isle VD","L'Isle (VD)","L'Isle VD","La réforme de l'AVS, qui prévoit de relever d'un an l'âge du départ à la retraite des femmes, ne passe pas la rampe à L'Isle avec 73,8 pour cent des suffrages. L'autre proposition concernant la révision de l'AVS a aussi été refusée ce dimanche avec 50,1 pour cent de non. Les citoyens de L'Isle avaient déjà refusé la précédente révision de l'AVS en 2017."
5487,56.7,56.7,43.3,"Lussery-Villars VD","Lussery-Villars (VD)","Lussery-Villars VD","Les habitants de Lussery-Villars acceptent la réforme de l'AVS, qui passe par un relèvement de l'âge du départ à la retraite des femmes, avec 56,7 pour cent de oui. La deuxième proposition concernant l'AVS soumise au verdict des urnes ce dimanche a par contre été refusée avec 80,6 pour cent de non. Les citoyens de Lussery-Villars avaient déjà refusé la précédente révision de l'AVS en 2017."
5488,35.8,35.8,64.2,"Mauraz VD","Mauraz (VD)","Mauraz VD","C'est non à 64,2 pour cent à la réforme de l'AVS, qui passe par un relèvement de l'âge du départ à la retraite des femmes, à Mauraz. L'autre proposition concernant la révision de l'AVS a aussi été refusée ce dimanche avec 84,5 pour cent de non. Les citoyens de Mauraz avaient déjà refusé la précédente révision de l'AVS en 2017."
5489,74.4,74.4,25.6,"Mex VD","Mex (VD)","Mex VD","A Mex (VD), les habitants sont favorables à la réforme de l'AVS, qui passe par un relèvement de l'âge du départ à la retraite des femmes, avec 74,4 pour cent de oui. La deuxième proposition concernant l'AVS soumise au verdict des urnes ce dimanche a par contre été refusée avec 74,2 pour cent de non. Les citoyens de Mex (VD) avaient déjà refusé la précédente révision de l'AVS en 2017."
5490,79.9,79.9,20.1,"Moiry VD","Moiry (VD)","Moiry VD","C'est oui à 79,9 pour cent à la réforme de l'AVS à Moiry. Les femmes partiront à la retraite à l'âge de auf 65 ans. La deuxième proposition concernant l'AVS soumise au verdict des urnes ce dimanche a par contre été refusée avec 52,5 pour cent de non. Moiry avait accepté la précédente révision en 2017. Elle dit non cette fois-ci."
5491,84.4,84.4,15.6,"Mont-la-Ville VD","Mont-la-Ville (VD)","Mont-la-Ville VD","C'est oui à 84,4 pour cent à la réforme de l'AVS à Mont-la-Ville. Les femmes partiront à la retraite à l'âge de auf 65 ans. La deuxième proposition concernant l'AVS soumise au verdict des urnes ce dimanche a par contre été refusée avec 61,4 pour cent de non. Mont-la-Ville avait accepté la précédente révision en 2017. Elle dit non cette fois-ci."
5492,78.7,78.7,21.3,"Montricher VD","Montricher (VD)","Montricher VD","La réforme de l'AVS, qui prévoit de relever l'âge du départ à la retraite des femmes, passe la rampe à Montricher avec 78,7 pour cent de oui. La deuxième proposition concernant l'AVS soumise au verdict des urnes ce dimanche a également été acceptée par 50,9 pour cent des voix. Dans le camp du non en 2017 lors de la précédente révision de l'AVS, Montricher passe cette fois-ci du côté du oui."
5493,69.9,69.9,30.1,"Orny VD","Orny (VD)","Orny VD","Les habitants d'Orny approuvent la réforme de l'AVS, qui passe par un relèvement de l'âge du départ à la retraite des femmes, avec 69,9 pour cent de oui. La deuxième proposition concernant l'AVS soumise au verdict des urnes ce dimanche a par contre été refusée avec 84,4 pour cent de non. Les citoyens d'Orny avaient déjà refusé la précédente révision de l'AVS en 2017."
5495,83.3,83.3,16.7,"Penthalaz VD","Penthalaz (VD)","Penthalaz VD","A Penthalaz, les habitants disent oui à 83,3 pour cent à la réforme de l'AVS, qui passe par un relèvement de l'âge du départ à la retraite des femmes. La deuxième proposition concernant l'AVS soumise au verdict des urnes ce dimanche a également été acceptée par 67,1 pour cent des voix. Dans le camp du non en 2017 lors de la précédente révision de l'AVS, Penthalaz passe cette fois-ci du côté du oui."
5496,32.5,32.5,67.5,"Penthaz VD","Penthaz (VD)","Penthaz VD","A Penthaz, les habitants sont défavorables à la réforme de l'AVS, qui passe par un relèvement de l'âge du départ à la retraite des femmes, avec 67,5 pour cent de non. L'autre proposition concernant la révision de l'AVS a aussi été refusée ce dimanche avec 61,8 pour cent de non. Les citoyens de Penthaz avaient déjà refusé la précédente révision de l'AVS en 2017."
5497,8.3,8.3,91.7,"Pompaples VD","Pompaples (VD)","Pompaples VD","La réforme de l'AVS, qui prévoit de relever d'un an l'âge du départ à la retraite des femmes, échoue à Pompaples avec 91,7 pour cent de non. L'autre proposition concernant la révision de l'AVS a aussi été refusée ce dimanche avec 50,6 pour cent de non. Pompaples avait accepté la précédente révision en 2017. Elle dit non cette fois-ci."
5498,37.4,37.4,62.6,"La Sarraz VD","La Sarraz (VD)","La Sarraz VD","La réforme de l'AVS, qui prévoit de relever d'un an l'âge du départ à la retraite des femmes, échoue à La Sarraz avec 62,6 pour cent de non. Si cette proposition a été refusée, l'autre concernant la révision de l'AVS a été acceptée ce dimanche avec 67,4 pour cent des suffrages. La Sarraz avait accepté la précédente révision en 2017. Elle dit non cette fois-ci."
5499,44.5,44.5,55.5,"Senarclens VD","Senarclens (VD)","Senarclens VD","Les habitants de Senarclens rejettent la réforme de l'AVS, qui passe par un relèvement de l'âge du départ à la retraite des femmes, avec 55,5 pour cent de non. Si cette proposition a été refusée, l'autre concernant la révision de l'AVS a été acceptée ce dimanche avec 53,2 pour cent des suffrages. Senarclens avait accepté la précédente révision en 2017. Elle dit non cette fois-ci."
5501,15.4,15.4,84.6,"Sullens VD","Sullens (VD)","Sullens VD","La réforme de l'AVS, qui prévoit de relever d'un an l'âge du départ à la retraite des femmes, échoue à Sullens avec 84,6 pour cent de non. L'autre proposition concernant la révision de l'AVS a aussi été refusée ce dimanche avec 53,5 pour cent de non. Les citoyens de Sullens avaient déjà refusé la précédente révision de l'AVS en 2017."
5503,29,29,71,"Vufflens-la-Ville VD","Vufflens-la-Ville (VD)","Vufflens-la-Ville VD","A Vufflens-la-Ville, les habitants disent non à 71 pour cent à la réforme de l'AVS, qui passe par un relèvement de l'âge du départ à la retraite des femmes. Si cette proposition a été refusée, l'autre concernant la révision de l'AVS a été acceptée ce dimanche avec 83,6 pour cent des suffrages. Les citoyens de Vufflens-la-Ville avaient déjà refusé la précédente révision de l'AVS en 2017."
5511,39.6,39.6,60.4,"Assens VD","Assens (VD)","Assens VD","La réforme de l'AVS, qui prévoit de relever d'un an l'âge du départ à la retraite des femmes, ne passe pas la rampe à Assens avec 60,4 pour cent des suffrages. L'autre proposition concernant la révision de l'AVS a aussi été refusée ce dimanche avec 71 pour cent de non. Les citoyens d'Assens avaient déjà refusé la précédente révision de l'AVS en 2017."
5512,49.2,49.2,50.8,"Bercher VD","Bercher (VD)","Bercher VD","La réforme de l'AVS, qui prévoit de relever d'un an l'âge du départ à la retraite des femmes, ne passe pas la rampe à Bercher avec 50,8 pour cent des suffrages. Si cette proposition a été refusée, l'autre concernant la révision de l'AVS a été acceptée ce dimanche avec 83,7 pour cent des suffrages. Bercher avait accepté la précédente révision en 2017. Elle dit non cette fois-ci."
5514,63.7,63.7,36.3,"Bottens VD","Bottens (VD)","Bottens VD","A Bottens, les habitants sont favorables à la réforme de l'AVS, qui passe par un relèvement de l'âge du départ à la retraite des femmes, avec 63,7 pour cent de oui. La deuxième proposition concernant l'AVS soumise au verdict des urnes ce dimanche a par contre été refusée avec 80,6 pour cent de non. Les citoyens de Bottens avaient déjà refusé la précédente révision de l'AVS en 2017."
5515,26.6,26.6,73.4,"Bretigny-sur-Morrens VD","Bretigny-sur-Morrens (VD)","Bretigny-sur-Morrens VD","A Bretigny-sur-Morrens, les habitants sont défavorables à la réforme de l'AVS, qui passe par un relèvement de l'âge du départ à la retraite des femmes, avec 73,4 pour cent de non. L'autre proposition concernant la révision de l'AVS a aussi été refusée ce dimanche avec 79,8 pour cent de non. Les citoyens de Bretigny-sur-Morrens avaient déjà refusé la précédente révision de l'AVS en 2017."
5516,49.6,49.6,50.4,"Cugy VD","Cugy (VD)","Cugy VD","A Cugy (VD), les habitants disent non à 50,4 pour cent à la réforme de l'AVS, qui passe par un relèvement de l'âge du départ à la retraite des femmes. Si cette proposition a été refusée, l'autre concernant la révision de l'AVS a été acceptée ce dimanche avec 57,9 pour cent des suffrages. Les citoyens de Cugy (VD) avaient déjà refusé la précédente révision de l'AVS en 2017."
5518,55.6,55.6,44.4,"Echallens VD","Echallens (VD)","Echallens VD","Les électeurs d'Echallens valident la révision de l'AVS, qui prévoit de relever l'âge du départ à la retraite des femmes, avec 55,6 pour cent de oui. La deuxième proposition concernant l'AVS soumise au verdict des urnes ce dimanche a également été acceptée par 53,1 pour cent des voix. Dans le camp du non en 2017 lors de la précédente révision de l'AVS, Echallens passe cette fois-ci du côté du oui."
5520,13.9,13.9,86.1,"Essertines-sur-Yverdon VD","Essertines-sur-Yverdon (VD)","Essertines-sur-Yverdon VD","C'est non à 86,1 pour cent à la réforme de l'AVS, qui passe par un relèvement de l'âge du départ à la retraite des femmes, à Essertines-sur-Yverdon. Si cette proposition a été refusée, l'autre concernant la révision de l'AVS a été acceptée ce dimanche avec 92,3 pour cent des suffrages. Les citoyens d'Essertines-sur-Yverdon avaient déjà refusé la précédente révision de l'AVS en 2017."
5521,48.4,48.4,51.6,"Etagnières VD","Etagnières (VD)","Etagnières VD","A Etagnières, les habitants disent non à 51,6 pour cent à la réforme de l'AVS, qui passe par un relèvement de l'âge du départ à la retraite des femmes. L'autre proposition concernant la révision de l'AVS a aussi été refusée ce dimanche avec 61,3 pour cent de non. Les citoyens d'Etagnières avaient déjà refusé la précédente révision de l'AVS en 2017."
5522,23.7,23.7,76.3,"Fey VD","Fey (VD)","Fey VD","C'est non à 76,3 pour cent à la réforme de l'AVS, qui passe par un relèvement de l'âge du départ à la retraite des femmes, à Fey. Si cette proposition a été refusée, l'autre concernant la révision de l'AVS a été acceptée ce dimanche avec 73,1 pour cent des suffrages. Les citoyens de Fey avaient déjà refusé la précédente révision de l'AVS en 2017."
5523,45.4,45.4,54.6,"Froideville VD","Froideville (VD)","Froideville VD","A Froideville, les habitants disent non à 54,6 pour cent à la réforme de l'AVS, qui passe par un relèvement de l'âge du départ à la retraite des femmes. Si cette proposition a été refusée, l'autre concernant la révision de l'AVS a été acceptée ce dimanche avec 90,8 pour cent des suffrages. Les citoyens de Froideville avaient déjà refusé la précédente révision de l'AVS en 2017."
5527,57.3,57.3,42.7,"Morrens VD","Morrens (VD)","Morrens VD","C'est oui à 57,3 pour cent à la réforme de l'AVS à Morrens (VD). Les femmes partiront à la retraite à l'âge de auf 65 ans. La deuxième proposition concernant l'AVS soumise au verdict des urnes ce dimanche a par contre été refusée avec 86,3 pour cent de non. Morrens (VD) avait accepté la précédente révision en 2017. Elle dit non cette fois-ci."
