"Gemeinde_Nr","Gemeinde_color","Ja_Stimmen_In_Prozent","Nein_Stimmen_In_Prozent","Gemeinde_KT_d","Gemeinde_KT_f","Gemeinde_KT_i","Text_d"
5588,69.5,69.5,30.5,"Paudex VD","Paudex (VD)","Paudex VD","69,5 Prozent der Stimmbürgerinnen und Stimmbürger von Paudex haben die Erhöhung der Mehrwertsteuer angenommen. Da die Gemeinde auch dem Frauenrentealter 65 mit 52,1 zugestimmt hat, ist die AHV-Reform in Paudex damit angenommen worden. Damit hat in Paudex im Vergleich zur letzten AHV-Abstimmungim Jahr 2017 ein Meinungsumschwung stattgefunden. Damals hatte noch eine Mehrheit von 55,6 Prozent ein Nein in die Urne gelegt."
5589,96.2,96.2,3.8,"Prilly VD","Prilly (VD)","Prilly VD","Die Gemeinde Prilly hat die Erhöhung der Mehrwertsteuer mit 96,2 Prozent angenommen. Weil die Gemeinde das Frauenrentenalter 65 aber mit 80,8 Nein-Stimmen abgelehnt hat, ist die AHV-Reform in Prilly damit gescheitert. Auch bei der letzten AHV-Abstimmung im Jahr 2017 hatte Prilly eine Rentenreform mit 51,1 Nein-Stimmen abgelehnt."
5590,30.5,30.5,69.5,"Pully VD","Pully (VD)","Pully VD","In Pully hat die Stimmbevölkerung die Erhöhung der Mehrwertsteuer mit 69,5 Prozent abgelehnt. Obwohl die Gemeinde das Frauenrentenalter 65 mit 64,2 Ja-Stimmen angenommen hat, ist die AHV-Reform in Pully damit gescheitert. Damit hat in Pully im Vergleich zur letzten AHV-Abstimmung im Jahr 2017 ein Meinungsumschwung stattgefunden. Damals hatte noch eine Mehrheit von 53,5 Prozent ein Ja in die Urne gelegt."
5591,0.5,0.5,99.5,"Renens VD","Renens (VD)","Renens VD","Nein zur Erhöhung der Mehrwertsteuer in Renens VD. Die Gemeinde hat das Volksbegehren mit 99,5 Prozent abgelehnt. Obwohl die Gemeinde das Frauenrentenalter 65 mit 85,5 Ja-Stimmen angenommen hat, ist die AHV-Reform in Renens VD damit gescheitert. Auch bei der letzten AHV-Abstimmung im Jahr 2017 hatte Renens VD eine Rentenreform mit 53,7 Nein-Stimmen abgelehnt."
5592,12.8,12.8,87.2,"Romanel-sur-Lausanne VD","Romanel-sur-Lausanne (VD)","Romanel-sur-Lausanne VD","Nein zur Erhöhung der Mehrwertsteuer in Romanel-sur-Lausanne. Die Gemeinde hat das Volksbegehren mit 87,2 Prozent abgelehnt. Da die Gemeinde auch das Frauenrentenalter 65 mit 51,7 abgelehnt hat, ist die AHV-Reform in Romanel-sur-Lausanne damit gescheitert. Auch bei der letzten AHV-Abstimmung im Jahr 2017 hatte Romanel-sur-Lausanne eine Rentenreform mit 50,2 Nein-Stimmen abgelehnt."
5601,56.3,56.3,43.7,"Chexbres VD","Chexbres (VD)","Chexbres VD","Chexbres hat der Erhöhung der Mehrwertsteuer mit 56,3 Prozent zugestimmt. Da die Gemeinde auch dem Frauenrentealter 65 mit 61,1 zugestimmt hat, ist die AHV-Reform in Chexbres damit angenommen worden. Damit hat in Chexbres im Vergleich zur letzten AHV-Abstimmungim Jahr 2017 ein Meinungsumschwung stattgefunden. Damals hatte noch eine Mehrheit von 50,2 Prozent ein Nein in die Urne gelegt."
5604,55.3,55.3,44.7,"Forel (Lavaux) VD","Forel (Lavaux) (VD)","Forel (Lavaux) VD","55,3 Prozent der Stimmbürgerinnen und Stimmbürger von Forel (Lavaux) haben die Erhöhung der Mehrwertsteuer angenommen. Weil die Gemeinde das Frauenrentenalter 65 aber mit 67,3 Nein-Stimmen abgelehnt hat, ist die AHV-Reform in Forel (Lavaux) damit gescheitert. Auch bei der letzten AHV-Abstimmung im Jahr 2017 hatte Forel (Lavaux) eine Rentenreform mit 57,4 Nein-Stimmen abgelehnt."
5606,56.4,56.4,43.6,"Lutry VD","Lutry (VD)","Lutry VD","Ja zur Erhöhung der Mehrwertsteuer in Lutry mit 56,4 Prozent. Da die Gemeinde auch dem Frauenrentealter 65 mit 51 zugestimmt hat, ist die AHV-Reform in Lutry damit angenommen worden. Damit hat in Lutry im Vergleich zur letzten AHV-Abstimmungim Jahr 2017 ein Meinungsumschwung stattgefunden. Damals hatte noch eine Mehrheit von 50,7 Prozent ein Nein in die Urne gelegt."
5607,48.8,48.8,51.2,"Puidoux VD","Puidoux (VD)","Puidoux VD","In Puidoux hat die Stimmbevölkerung die Erhöhung der Mehrwertsteuer mit 51,2 Prozent abgelehnt. Obwohl die Gemeinde das Frauenrentenalter 65 mit 77,6 Ja-Stimmen angenommen hat, ist die AHV-Reform in Puidoux damit gescheitert. Auch bei der letzten AHV-Abstimmung im Jahr 2017 hatte Puidoux eine Rentenreform mit 53,6 Nein-Stimmen abgelehnt."
5609,54.6,54.6,45.4,"Rivaz VD","Rivaz (VD)","Rivaz VD","54,6 Prozent der Stimmbürgerinnen und Stimmbürger von Rivaz haben die Erhöhung der Mehrwertsteuer angenommen. Da die Gemeinde auch dem Frauenrentealter 65 mit 73,9 zugestimmt hat, ist die AHV-Reform in Rivaz damit angenommen worden. Damit hat in Rivaz im Vergleich zur letzten AHV-Abstimmungim Jahr 2017 ein Meinungsumschwung stattgefunden. Damals hatte noch eine Mehrheit von 54,1 Prozent ein Nein in die Urne gelegt."
5610,49.3,49.3,50.7,"Saint-Saphorin (Lavaux) VD","Saint-Saphorin (Lavaux) (VD)","Saint-Saphorin (Lavaux) VD","50,7 Prozent der Stimmbürgerinnen und Stimmbürger von Saint-Saphorin (Lavaux) sagen Nein zur Erhöhung der Mehrwertsteuer. Da die Gemeinde auch das Frauenrentenalter 65 mit 56,5 abgelehnt hat, ist die AHV-Reform in Saint-Saphorin (Lavaux) damit gescheitert. Damit hat in Saint-Saphorin (Lavaux) im Vergleich zur letzten AHV-Abstimmung im Jahr 2017 ein Meinungsumschwung stattgefunden. Damals hatte noch eine Mehrheit von 51,1 Prozent ein Ja in die Urne gelegt."
5611,66.3,66.3,33.7,"Savigny VD","Savigny (VD)","Savigny VD","66,3 Prozent der Stimmbürgerinnen und Stimmbürger von Savigny haben die Erhöhung der Mehrwertsteuer angenommen. Da die Gemeinde auch dem Frauenrentealter 65 mit 97,6 zugestimmt hat, ist die AHV-Reform in Savigny damit angenommen worden. Damit hat in Savigny im Vergleich zur letzten AHV-Abstimmungim Jahr 2017 ein Meinungsumschwung stattgefunden. Damals hatte noch eine Mehrheit von 54,8 Prozent ein Nein in die Urne gelegt."
5613,51.9,51.9,48.1,"Bourg-en-Lavaux VD","Bourg-en-Lavaux (VD)","Bourg-en-Lavaux VD","Die Gemeinde Bourg-en-Lavaux hat die Erhöhung der Mehrwertsteuer mit 51,9 Prozent angenommen. Weil die Gemeinde das Frauenrentenalter 65 aber mit 53,4 Nein-Stimmen abgelehnt hat, ist die AHV-Reform in Bourg-en-Lavaux damit gescheitert. Damit hat in Bourg-en-Lavaux im Vergleich zur letzten AHV-Abstimmung im Jahr 2017 ein Meinungsumschwung stattgefunden. Damals hatte noch eine Mehrheit von 53,3 Prozent ein Ja in die Urne gelegt."
5621,32,32,68,"Aclens VD","Aclens (VD)","Aclens VD","In Aclens hat die Stimmbevölkerung die Erhöhung der Mehrwertsteuer mit 68 Prozent abgelehnt. Da die Gemeinde auch das Frauenrentenalter 65 mit 53,8 abgelehnt hat, ist die AHV-Reform in Aclens damit gescheitert. Auch bei der letzten AHV-Abstimmung im Jahr 2017 hatte Aclens eine Rentenreform mit 53,6 Nein-Stimmen abgelehnt."
5622,28.7,28.7,71.3,"Bremblens VD","Bremblens (VD)","Bremblens VD","71,3 Prozent der Stimmbürgerinnen und Stimmbürger von Bremblens sagen Nein zur Erhöhung der Mehrwertsteuer. Da die Gemeinde auch das Frauenrentenalter 65 mit 67,1 abgelehnt hat, ist die AHV-Reform in Bremblens damit gescheitert. Auch bei der letzten AHV-Abstimmung im Jahr 2017 hatte Bremblens eine Rentenreform mit 62,3 Nein-Stimmen abgelehnt."
5623,26.3,26.3,73.7,"Buchillon VD","Buchillon (VD)","Buchillon VD","Nein zur Erhöhung der Mehrwertsteuer in Buchillon. Die Gemeinde hat das Volksbegehren mit 73,7 Prozent abgelehnt. Obwohl die Gemeinde das Frauenrentenalter 65 mit 60,5 Ja-Stimmen angenommen hat, ist die AHV-Reform in Buchillon damit gescheitert. Damit hat in Buchillon im Vergleich zur letzten AHV-Abstimmung im Jahr 2017 ein Meinungsumschwung stattgefunden. Damals hatte noch eine Mehrheit von 52,7 Prozent ein Ja in die Urne gelegt."
5624,30.6,30.6,69.4,"Bussigny VD","Bussigny (VD)","Bussigny VD","Bussigny hat die Erhöhung der Mehrwertsteuer mit 69,4 Prozent abgelehnt. Da die Gemeinde auch das Frauenrentenalter 65 mit 64 abgelehnt hat, ist die AHV-Reform in Bussigny damit gescheitert. Auch bei der letzten AHV-Abstimmung im Jahr 2017 hatte Bussigny eine Rentenreform mit 50,5 Nein-Stimmen abgelehnt."
5627,20.9,20.9,79.1,"Chavannes-près-Renens VD","Chavannes-près-Renens (VD)","Chavannes-près-Renens VD","79,1 Prozent der Stimmbürgerinnen und Stimmbürger von Chavannes-près-Renens sagen Nein zur Erhöhung der Mehrwertsteuer. Obwohl die Gemeinde das Frauenrentenalter 65 mit 61,9 Ja-Stimmen angenommen hat, ist die AHV-Reform in Chavannes-près-Renens damit gescheitert. Auch bei der letzten AHV-Abstimmung im Jahr 2017 hatte Chavannes-près-Renens eine Rentenreform mit 52 Nein-Stimmen abgelehnt."
5628,55.5,55.5,44.5,"Chigny VD","Chigny (VD)","Chigny VD","Chigny hat der Erhöhung der Mehrwertsteuer mit 55,5 Prozent zugestimmt. Da die Gemeinde auch dem Frauenrentealter 65 mit 70,6 zugestimmt hat, ist die AHV-Reform in Chigny damit angenommen worden. Auch bei der letzten AHV-Abstimmung im Jahr 2017 hatte Chigny der Rentenreform mit 54,7 zugestimmt."
5629,55.4,55.4,44.6,"Clarmont VD","Clarmont (VD)","Clarmont VD","55,4 Prozent der Stimmbürgerinnen und Stimmbürger von Clarmont haben die Erhöhung der Mehrwertsteuer angenommen. Weil die Gemeinde das Frauenrentenalter 65 aber mit 53,5 Nein-Stimmen abgelehnt hat, ist die AHV-Reform in Clarmont damit gescheitert. Auch bei der letzten AHV-Abstimmung im Jahr 2017 hatte Clarmont eine Rentenreform mit 63,5 Nein-Stimmen abgelehnt."
5631,59.5,59.5,40.5,"Denens VD","Denens (VD)","Denens VD","Denens hat der Erhöhung der Mehrwertsteuer mit 59,5 Prozent zugestimmt. Da die Gemeinde auch dem Frauenrentealter 65 mit 50,9 zugestimmt hat, ist die AHV-Reform in Denens damit angenommen worden. Auch bei der letzten AHV-Abstimmung im Jahr 2017 hatte Denens der Rentenreform mit 57,8 zugestimmt."
5632,70.6,70.6,29.4,"Denges VD","Denges (VD)","Denges VD","70,6 Prozent der Stimmbürgerinnen und Stimmbürger von Denges haben die Erhöhung der Mehrwertsteuer angenommen. Da die Gemeinde auch dem Frauenrentealter 65 mit 76,9 zugestimmt hat, ist die AHV-Reform in Denges damit angenommen worden. Auch bei der letzten AHV-Abstimmung im Jahr 2017 hatte Denges der Rentenreform mit 53,7 zugestimmt."
5633,60.5,60.5,39.5,"Echandens VD","Echandens (VD)","Echandens VD","60,5 Prozent der Stimmbürgerinnen und Stimmbürger von Echandens haben die Erhöhung der Mehrwertsteuer angenommen. Weil die Gemeinde das Frauenrentenalter 65 aber mit 81,9 Nein-Stimmen abgelehnt hat, ist die AHV-Reform in Echandens damit gescheitert. Auch bei der letzten AHV-Abstimmung im Jahr 2017 hatte Echandens eine Rentenreform mit 50,2 Nein-Stimmen abgelehnt."
5634,49.9,49.9,50.1,"Echichens VD","Echichens (VD)","Echichens VD","Echichens hat die Erhöhung der Mehrwertsteuer mit 50,1 Prozent abgelehnt. Obwohl die Gemeinde das Frauenrentenalter 65 mit 52,2 Ja-Stimmen angenommen hat, ist die AHV-Reform in Echichens damit gescheitert. Damit hat in Echichens im Vergleich zur letzten AHV-Abstimmung im Jahr 2017 ein Meinungsumschwung stattgefunden. Damals hatte noch eine Mehrheit von 54,8 Prozent ein Ja in die Urne gelegt."
5635,43.2,43.2,56.8,"Ecublens VD","Ecublens (VD)","Ecublens VD","Nein zur Erhöhung der Mehrwertsteuer in Ecublens VD. Die Gemeinde hat das Volksbegehren mit 56,8 Prozent abgelehnt. Da die Gemeinde auch das Frauenrentenalter 65 mit 62,3 abgelehnt hat, ist die AHV-Reform in Ecublens VD damit gescheitert. Auch bei der letzten AHV-Abstimmung im Jahr 2017 hatte Ecublens VD eine Rentenreform mit 51,5 Nein-Stimmen abgelehnt."
5636,85.7,85.7,14.3,"Etoy VD","Etoy (VD)","Etoy VD","Ja zur Erhöhung der Mehrwertsteuer in Etoy mit 85,7 Prozent. Weil die Gemeinde das Frauenrentenalter 65 aber mit 99,1 Nein-Stimmen abgelehnt hat, ist die AHV-Reform in Etoy damit gescheitert. Damit hat in Etoy im Vergleich zur letzten AHV-Abstimmung im Jahr 2017 ein Meinungsumschwung stattgefunden. Damals hatte noch eine Mehrheit von 53,4 Prozent ein Ja in die Urne gelegt."
5637,59.2,59.2,40.8,"Lavigny VD","Lavigny (VD)","Lavigny VD","Die Gemeinde Lavigny hat die Erhöhung der Mehrwertsteuer mit 59,2 Prozent angenommen. Da die Gemeinde auch dem Frauenrentealter 65 mit 52,6 zugestimmt hat, ist die AHV-Reform in Lavigny damit angenommen worden. Auch bei der letzten AHV-Abstimmung im Jahr 2017 hatte Lavigny der Rentenreform mit 50,4 zugestimmt."
5638,8.7,8.7,91.3,"Lonay VD","Lonay (VD)","Lonay VD","Nein zur Erhöhung der Mehrwertsteuer in Lonay. Die Gemeinde hat das Volksbegehren mit 91,3 Prozent abgelehnt. Obwohl die Gemeinde das Frauenrentenalter 65 mit 54 Ja-Stimmen angenommen hat, ist die AHV-Reform in Lonay damit gescheitert. Damit hat in Lonay im Vergleich zur letzten AHV-Abstimmung im Jahr 2017 ein Meinungsumschwung stattgefunden. Damals hatte noch eine Mehrheit von 50,4 Prozent ein Ja in die Urne gelegt."
5639,77.2,77.2,22.8,"Lully VD","Lully (VD)","Lully VD","77,2 Prozent der Abstimmenden in der Gemeinde Lully VD haben Ja gesagt zur Erhöhung der Mehrwertsteuer. Weil die Gemeinde das Frauenrentenalter 65 aber mit 52,1 Nein-Stimmen abgelehnt hat, ist die AHV-Reform in Lully VD damit gescheitert. Damit hat in Lully VD im Vergleich zur letzten AHV-Abstimmung im Jahr 2017 ein Meinungsumschwung stattgefunden. Damals hatte noch eine Mehrheit von 54,8 Prozent ein Ja in die Urne gelegt."
5640,8.7,8.7,91.3,"Lussy-sur-Morges VD","Lussy-sur-Morges (VD)","Lussy-sur-Morges VD","In Lussy-sur-Morges hat die Stimmbevölkerung die Erhöhung der Mehrwertsteuer mit 91,3 Prozent abgelehnt. Da die Gemeinde auch das Frauenrentenalter 65 mit 59,4 abgelehnt hat, ist die AHV-Reform in Lussy-sur-Morges damit gescheitert. Damit hat in Lussy-sur-Morges im Vergleich zur letzten AHV-Abstimmung im Jahr 2017 ein Meinungsumschwung stattgefunden. Damals hatte noch eine Mehrheit von 55,6 Prozent ein Ja in die Urne gelegt."
5642,53.2,53.2,46.8,"Morges VD","Morges (VD)","Morges VD","Die Gemeinde Morges hat die Erhöhung der Mehrwertsteuer mit 53,2 Prozent angenommen. Weil die Gemeinde das Frauenrentenalter 65 aber mit 65,2 Nein-Stimmen abgelehnt hat, ist die AHV-Reform in Morges damit gescheitert. Auch bei der letzten AHV-Abstimmung im Jahr 2017 hatte Morges eine Rentenreform mit 51,6 Nein-Stimmen abgelehnt."
5643,81.1,81.1,18.9,"Préverenges VD","Préverenges (VD)","Préverenges VD","81,1 Prozent in Préverenges sagen Ja zur Erhöhung der Mehrwertsteuer . Da die Gemeinde auch dem Frauenrentealter 65 mit 51,4 zugestimmt hat, ist die AHV-Reform in Préverenges damit angenommen worden. Auch bei der letzten AHV-Abstimmung im Jahr 2017 hatte Préverenges der Rentenreform mit 50,4 zugestimmt."
5645,51.8,51.8,48.2,"Romanel-sur-Morges VD","Romanel-sur-Morges (VD)","Romanel-sur-Morges VD","51,8 Prozent der Abstimmenden in der Gemeinde Romanel-sur-Morges haben Ja gesagt zur Erhöhung der Mehrwertsteuer. Weil die Gemeinde das Frauenrentenalter 65 aber mit 82,7 Nein-Stimmen abgelehnt hat, ist die AHV-Reform in Romanel-sur-Morges damit gescheitert. Auch bei der letzten AHV-Abstimmung im Jahr 2017 hatte Romanel-sur-Morges eine Rentenreform mit 56,6 Nein-Stimmen abgelehnt."
5646,49.5,49.5,50.5,"Saint-Prex VD","Saint-Prex (VD)","Saint-Prex VD","Keine Mehrheit für die Erhöhung der Mehrwertsteuer in Saint-Prex: Mit 50,5 Prozent hat die Gemeinde die Vorlage verworfen. Obwohl die Gemeinde das Frauenrentenalter 65 mit 73,2 Ja-Stimmen angenommen hat, ist die AHV-Reform in Saint-Prex damit gescheitert. Auch bei der letzten AHV-Abstimmung im Jahr 2017 hatte Saint-Prex eine Rentenreform mit 51,3 Nein-Stimmen abgelehnt."
5648,45.7,45.7,54.3,"Saint-Sulpice VD","Saint-Sulpice (VD)","Saint-Sulpice VD","54,3 Prozent Nein zur Erhöhung der Mehrwertsteuer in Saint-Sulpice VD. Da die Gemeinde auch das Frauenrentenalter 65 mit 67,4 abgelehnt hat, ist die AHV-Reform in Saint-Sulpice VD damit gescheitert. Auch bei der letzten AHV-Abstimmung im Jahr 2017 hatte Saint-Sulpice VD eine Rentenreform mit 53,1 Nein-Stimmen abgelehnt."
5649,45.4,45.4,54.6,"Tolochenaz VD","Tolochenaz (VD)","Tolochenaz VD","Nein zur Erhöhung der Mehrwertsteuer in Tolochenaz. Die Gemeinde hat das Volksbegehren mit 54,6 Prozent abgelehnt. Obwohl die Gemeinde das Frauenrentenalter 65 mit 80,2 Ja-Stimmen angenommen hat, ist die AHV-Reform in Tolochenaz damit gescheitert. Auch bei der letzten AHV-Abstimmung im Jahr 2017 hatte Tolochenaz eine Rentenreform mit 52 Nein-Stimmen abgelehnt."
5650,52.9,52.9,47.1,"Vaux-sur-Morges VD","Vaux-sur-Morges (VD)","Vaux-sur-Morges VD","Ja zur Erhöhung der Mehrwertsteuer in Vaux-sur-Morges mit 52,9 Prozent. Weil die Gemeinde das Frauenrentenalter 65 aber mit 67,6 Nein-Stimmen abgelehnt hat, ist die AHV-Reform in Vaux-sur-Morges damit gescheitert. Damit hat in Vaux-sur-Morges im Vergleich zur letzten AHV-Abstimmung im Jahr 2017 ein Meinungsumschwung stattgefunden. Damals hatte noch eine Mehrheit von 61 Prozent ein Ja in die Urne gelegt."
5651,14.2,14.2,85.8,"Villars-Sainte-Croix VD","Villars-Sainte-Croix (VD)","Villars-Sainte-Croix VD","Nein zur Erhöhung der Mehrwertsteuer in Villars-Sainte-Croix. Die Gemeinde hat das Volksbegehren mit 85,8 Prozent abgelehnt. Obwohl die Gemeinde das Frauenrentenalter 65 mit 69,6 Ja-Stimmen angenommen hat, ist die AHV-Reform in Villars-Sainte-Croix damit gescheitert. Auch bei der letzten AHV-Abstimmung im Jahr 2017 hatte Villars-Sainte-Croix eine Rentenreform mit 55,9 Nein-Stimmen abgelehnt."
5652,45.9,45.9,54.1,"Villars-sous-Yens VD","Villars-sous-Yens (VD)","Villars-sous-Yens VD","54,1 Prozent der Stimmbürgerinnen und Stimmbürger von Villars-sous-Yens sagen Nein zur Erhöhung der Mehrwertsteuer. Obwohl die Gemeinde das Frauenrentenalter 65 mit 71,4 Ja-Stimmen angenommen hat, ist die AHV-Reform in Villars-sous-Yens damit gescheitert. Damit hat in Villars-sous-Yens im Vergleich zur letzten AHV-Abstimmung im Jahr 2017 ein Meinungsumschwung stattgefunden. Damals hatte noch eine Mehrheit von 59,7 Prozent ein Ja in die Urne gelegt."
5653,77.7,77.7,22.3,"Vufflens-le-Château VD","Vufflens-le-Château (VD)","Vufflens-le-Château VD","77,7 Prozent der Abstimmenden in der Gemeinde Vufflens-le-Château haben Ja gesagt zur Erhöhung der Mehrwertsteuer. Weil die Gemeinde das Frauenrentenalter 65 aber mit 54,9 Nein-Stimmen abgelehnt hat, ist die AHV-Reform in Vufflens-le-Château damit gescheitert. Damit hat in Vufflens-le-Château im Vergleich zur letzten AHV-Abstimmung im Jahr 2017 ein Meinungsumschwung stattgefunden. Damals hatte noch eine Mehrheit von 53,6 Prozent ein Ja in die Urne gelegt."
5654,78.4,78.4,21.6,"Vullierens VD","Vullierens (VD)","Vullierens VD","Ja zur Erhöhung der Mehrwertsteuer in Vullierens mit 78,4 Prozent. Da die Gemeinde auch dem Frauenrentealter 65 mit 78,8 zugestimmt hat, ist die AHV-Reform in Vullierens damit angenommen worden. Auch bei der letzten AHV-Abstimmung im Jahr 2017 hatte Vullierens der Rentenreform mit 52,2 zugestimmt."
5655,73.1,73.1,26.9,"Yens VD","Yens (VD)","Yens VD","Die Gemeinde Yens hat die Erhöhung der Mehrwertsteuer mit 73,1 Prozent angenommen. Da die Gemeinde auch dem Frauenrentealter 65 mit 66 zugestimmt hat, ist die AHV-Reform in Yens damit angenommen worden. Damit hat in Yens im Vergleich zur letzten AHV-Abstimmungim Jahr 2017 ein Meinungsumschwung stattgefunden. Damals hatte noch eine Mehrheit von 52,6 Prozent ein Nein in die Urne gelegt."
5656,36.7,36.7,63.3,"Hautemorges VD","Hautemorges (VD)","Hautemorges VD","In Hautemorges hat die Stimmbevölkerung die Erhöhung der Mehrwertsteuer mit 63,3 Prozent abgelehnt. Obwohl die Gemeinde das Frauenrentenalter 65 mit 83,6 Ja-Stimmen angenommen hat, ist die AHV-Reform in Hautemorges damit gescheitert. Wegen der Veränderung der Gemeindestruktur ist ein Vergleich mit der letzten AHV-Abstimmung im Jahr 2017 in Hautemorges nicht möglich."
5661,70.9,70.9,29.1,"Boulens VD","Boulens (VD)","Boulens VD","70,9 Prozent der Stimmbürgerinnen und Stimmbürger von Boulens haben die Erhöhung der Mehrwertsteuer angenommen. Da die Gemeinde auch dem Frauenrentealter 65 mit 80,8 zugestimmt hat, ist die AHV-Reform in Boulens damit angenommen worden. Damit hat in Boulens im Vergleich zur letzten AHV-Abstimmungim Jahr 2017 ein Meinungsumschwung stattgefunden. Damals hatte noch eine Mehrheit von 58,7 Prozent ein Nein in die Urne gelegt."
5663,22.1,22.1,77.9,"Bussy-sur-Moudon VD","Bussy-sur-Moudon (VD)","Bussy-sur-Moudon VD","77,9 Prozent der Stimmbürgerinnen und Stimmbürger von Bussy-sur-Moudon sagen Nein zur Erhöhung der Mehrwertsteuer. Obwohl die Gemeinde das Frauenrentenalter 65 mit 54 Ja-Stimmen angenommen hat, ist die AHV-Reform in Bussy-sur-Moudon damit gescheitert. Auch bei der letzten AHV-Abstimmung im Jahr 2017 hatte Bussy-sur-Moudon eine Rentenreform mit 56,4 Nein-Stimmen abgelehnt."
5665,38.1,38.1,61.9,"Chavannes-sur-Moudon VD","Chavannes-sur-Moudon (VD)","Chavannes-sur-Moudon VD","61,9 Prozent Nein zur Erhöhung der Mehrwertsteuer in Chavannes-sur-Moudon. Da die Gemeinde auch das Frauenrentenalter 65 mit 80,7 abgelehnt hat, ist die AHV-Reform in Chavannes-sur-Moudon damit gescheitert. Auch bei der letzten AHV-Abstimmung im Jahr 2017 hatte Chavannes-sur-Moudon eine Rentenreform mit 66,2 Nein-Stimmen abgelehnt."
5669,11.7,11.7,88.3,"Curtilles VD","Curtilles (VD)","Curtilles VD","88,3 Prozent Nein zur Erhöhung der Mehrwertsteuer in Curtilles. Da die Gemeinde auch das Frauenrentenalter 65 mit 87,3 abgelehnt hat, ist die AHV-Reform in Curtilles damit gescheitert. Auch bei der letzten AHV-Abstimmung im Jahr 2017 hatte Curtilles eine Rentenreform mit 51,1 Nein-Stimmen abgelehnt."
5671,21.8,21.8,78.2,"Dompierre VD","Dompierre (VD)","Dompierre VD","In Dompierre VD hat die Stimmbevölkerung die Erhöhung der Mehrwertsteuer mit 78,2 Prozent abgelehnt. Obwohl die Gemeinde das Frauenrentenalter 65 mit 50,4 Ja-Stimmen angenommen hat, ist die AHV-Reform in Dompierre VD damit gescheitert. Auch bei der letzten AHV-Abstimmung im Jahr 2017 hatte Dompierre VD eine Rentenreform mit 51,6 Nein-Stimmen abgelehnt."
5673,46.3,46.3,53.7,"Hermenches VD","Hermenches (VD)","Hermenches VD","Nein zur Erhöhung der Mehrwertsteuer in Hermenches. Die Gemeinde hat das Volksbegehren mit 53,7 Prozent abgelehnt. Obwohl die Gemeinde das Frauenrentenalter 65 mit 72,4 Ja-Stimmen angenommen hat, ist die AHV-Reform in Hermenches damit gescheitert. Auch bei der letzten AHV-Abstimmung im Jahr 2017 hatte Hermenches eine Rentenreform mit 59,7 Nein-Stimmen abgelehnt."
5674,54.3,54.3,45.7,"Lovatens VD","Lovatens (VD)","Lovatens VD","54,3 Prozent in Lovatens sagen Ja zur Erhöhung der Mehrwertsteuer . Weil die Gemeinde das Frauenrentenalter 65 aber mit 74,5 Nein-Stimmen abgelehnt hat, ist die AHV-Reform in Lovatens damit gescheitert."
5675,56.9,56.9,43.1,"Lucens VD","Lucens (VD)","Lucens VD","Lucens hat der Erhöhung der Mehrwertsteuer mit 56,9 Prozent zugestimmt. Da die Gemeinde auch dem Frauenrentealter 65 mit 69,5 zugestimmt hat, ist die AHV-Reform in Lucens damit angenommen worden. Damit hat in Lucens im Vergleich zur letzten AHV-Abstimmungim Jahr 2017 ein Meinungsumschwung stattgefunden. Damals hatte noch eine Mehrheit von 59,3 Prozent ein Nein in die Urne gelegt."
5678,69,69,31,"Moudon VD","Moudon (VD)","Moudon VD","In Moudon hat die Stimmbevölkerung der Erhöhung der Mehrwertsteuer mit einem Ja-Stimmen-Anteil von 69 Prozent zugestimmt. Da die Gemeinde auch dem Frauenrentealter 65 mit 79 zugestimmt hat, ist die AHV-Reform in Moudon damit angenommen worden. Damit hat in Moudon im Vergleich zur letzten AHV-Abstimmungim Jahr 2017 ein Meinungsumschwung stattgefunden. Damals hatte noch eine Mehrheit von 55,1 Prozent ein Nein in die Urne gelegt."
5680,70.4,70.4,29.6,"Ogens VD","Ogens (VD)","Ogens VD","Ogens hat der Erhöhung der Mehrwertsteuer mit 70,4 Prozent zugestimmt. Da die Gemeinde auch dem Frauenrentealter 65 mit 70,3 zugestimmt hat, ist die AHV-Reform in Ogens damit angenommen worden. Damit hat in Ogens im Vergleich zur letzten AHV-Abstimmungim Jahr 2017 ein Meinungsumschwung stattgefunden. Damals hatte noch eine Mehrheit von 69 Prozent ein Nein in die Urne gelegt."
5683,55.9,55.9,44.1,"Prévonloup VD","Prévonloup (VD)","Prévonloup VD","Ja zur Erhöhung der Mehrwertsteuer in Prévonloup mit 55,9 Prozent. Weil die Gemeinde das Frauenrentenalter 65 aber mit 84 Nein-Stimmen abgelehnt hat, ist die AHV-Reform in Prévonloup damit gescheitert. Auch bei der letzten AHV-Abstimmung im Jahr 2017 hatte Prévonloup eine Rentenreform mit 60,7 Nein-Stimmen abgelehnt."
5684,78.6,78.6,21.4,"Rossenges VD","Rossenges (VD)","Rossenges VD","Rossenges hat der Erhöhung der Mehrwertsteuer mit 78,6 Prozent zugestimmt. Da die Gemeinde auch dem Frauenrentealter 65 mit 83,4 zugestimmt hat, ist die AHV-Reform in Rossenges damit angenommen worden. Damit hat in Rossenges im Vergleich zur letzten AHV-Abstimmungim Jahr 2017 ein Meinungsumschwung stattgefunden. Damals hatte noch eine Mehrheit von 78,6 Prozent ein Nein in die Urne gelegt."
